Question,A,B,C,D,Prav_vid
Як isinstance допомагає type narrowing?,Він створює TypeVar,Після перевірки аналізатор може знати конкретніший тип у гілці,Він завжди змінює runtime-тип об'єкта,Він вимикає checker,B
Що таке Literal?,"Тип, що обмежує значення конкретним набором літералів",Новий runtime-клас,Будь-який рядок,Псевдонім для object,A
Для чого особливо корисний Literal?,Для необмежених числових обчислень,"Для невеликих закритих наборів режимів, станів або форматів",Для заміни всіх enum і класів без винятку,Лише для генераторів,B
"Що станеться зі статичною перевіркою open_resource('delete'), якщо Mode = Literal['read','write','append']?",Checker має повідомити про несумісне значення,Literal буде проігноровано завжди,Значення автоматично стане 'read',Виникне SyntaxError під час парсингу,A
Що таке type alias?,Тип винятку,Декоратор функції,Псевдонім типу для покращення читабельності контрактів,Новий обов'язковий runtime-клас,C
Чи створює UserId = int новий runtime-тип?,Лише після import typing,Ні,"Так, окремий клас UserId","Так, але лише в mypy",B
Від чого залежить доступність сучасного type statement?,Від наявності NumPy,"Від мінімальної версії Python, яку підтримує проєкт",Від ОС користувача лише,Від кількості процесорів,B
Що робить Any для статичної перевірки?,Фактично вимикає значну частину перевірок для відповідного значення,Звужує тип до object,Забороняє всі операції,Робить значення immutable,A
Чому не варто використовувати Any лише для усунення помилок mypy?,mypy не знає тип Any,Any завжди спричиняє SyntaxError,Any працює тільки з числами,Надмірний Any зменшує користь статичної типізації і може приховати проблеми,D
Чим object відрізняється від Any у статичному контракті?,Any дозволяє лише print,object і Any повністю ідентичні,"Для object дозволяються лише операції, гарантовані object, тоді як Any дозволяє майже все",object вимикає checker сильніше за Any,C
Який тип часто безпечніший за Any для «будь-якого Python-об'єкта»?,ClassVar,object,Never,Literal,B
"Що описує Callable[[int, int], int]?",Генератор int,Клас із двома атрибутами,Callable з двома параметрами int і результатом int,Список із двох int,C
З якого модуля в лекції імпортується Callable?,collections.abc,dataclasses,pathlib,math,A
Коли параметр Iterable[T] кращий за list[T]?,Коли функції потрібна лише ітерація,Ніколи,Коли потрібна обов'язкова індексація і зміна списку,Коли потрібен лише dict,A
Коли Sequence[T] доречніший за Iterable[T]?,Коли функція нічого не читає,"Коли контракт потребує, наприклад, індексації",Лише для set,Коли треба вимкнути статичну перевірку,B
"Що описує Mapping[str, int]?",Лише конкретний list,Callable,Генератор,Абстрактне відображення ключів str у значення int,D
Як у лекції типізується простий генератор парних чисел?,Iterator[int],list[int] обов'язково,Iterable[str],Generator без параметрів,A
Чи завжди потрібно використовувати typing.Generator для функції з yield?,Generator не підтримує типи,"Ні, для звичайної видачі значень Iterator[T] часто достатній","Так, Iterator заборонений",Лише якщо yield один,B
Що таке Protocol?,Декоратор dataclass,Обов'язковий базовий runtime-клас для всіх реалізацій,"Засіб структурної типізації, який описує потрібну поведінку",Мережевий протокол HTTP,C
Як Protocol пов'язаний з duck typing?,Він формалізує duck typing для статичного аналізатора,Він працює лише з наслідуванням,Не має зв'язку,Він забороняє duck typing,A
"Чи повинен EmailSender успадковувати Sender Protocol, щоб бути структурно сумісним?",Лише у Pyright,Лише якщо send повертає str,Ні,"Так, обов'язково",C
Що потрібно для структурної сумісності з Sender у прикладі?,Мати атрибут __mro__ певного виду,Бути dataclass,Успадковувати ABC,Мати метод send з потрібною сигнатурою,D
"Чи може Protocol описувати атрибути, а не лише методи?",Лише ClassVar,Ні,Так,Лише Final,C
Що робить @runtime_checkable для Protocol?,Перетворює Protocol на dataclass,Дозволяє обмежені isinstance-перевірки протоколу під час виконання,Забороняє статичну перевірку,Перевіряє повну точність усіх сигнатур runtime,B
"Чи перевіряє runtime_checkable повну відповідність сигнатур так само, як static checker?",Тільки у mypy strict,"Так, повністю",Ні,Лише для Generic,C
Що таке TypeVar?,Runtime validator,Змінна зі значенням type,"Змінна типу, що дозволяє пов'язувати типи в generic-контрактах",Псевдонім Any,C
Навіщо TypeVar T у first(items: list[T]) -> T?,Щоб створити новий список,Щоб зберегти зв'язок між типом елементів входу і типом результату,Щоб функція приймала лише int,Щоб завжди повертати object,B
"Що втрачається, якщо generic first замінити на list[object] -> object?",Можливість return,Точний зв'язок типу результату з типом елементів входу,Runtime-тип списку,Можливість виклику функції,B
Що задають constraints у TypeVar?,Закритий набір допустимих типів,Лише верхню межу підтипів,Набір Literal-рядків тільки,Значення за замовчуванням функції,A
Що задає bound у TypeVar?,Runtime exception,Верхню межу через підтип,Точний список лише двох типів,Порядок MRO,B
"Що означає TypeVar('Number', int, float)?",Number обмежений типами int і float,Number є псевдонімом str,Number завжди одночасно int і float,Number вимикає checker,A
Що означає TypeVar з bound=Animal?,Будь-який тип крім Animal,Лише Protocol,Допустимий лише точний тип Animal без підкласів,Допустимий тип має бути Animal або його підтипом,D
Що таке Generic-клас?,Тільки abstract class,"Клас, параметризований типом або типами","Клас, який не має екземплярів",Клас без анотацій,B
Що дає Box(Generic[T])?,Box автоматично серіалізує значення,Один клас можна використовувати з різними типами зі збереженням точної інформації для аналізатора,Box забороняє str,Box завжди зберігає Any,B
Для чого Generic Repository[T]?,Щоб зберігати тип доменної сутності й уникати випадкового змішування несумісних типів,Щоб вимкнути type checker,Щоб repository працював лише з int,Щоб замінити всі бази даних,A
Що слід враховувати при використанні нового синтаксису type parameters?,Тільки розмір оперативної пам'яті,Мінімальну підтримувану версію Python,Кількість класів,Наявність Docker,B
Що описує variance?,Кількість TypeVar,Швидкість виконання generic-коду,Відмінність між int і float runtime,"Відношення між параметризованими типами, коли їх параметри мають відношення підтипів",D
Чому list зазвичай інваріантний?,Бо list immutable,Бо list не є generic,Бо list підтримує лише object,"Бо він mutable і дозволяє запис, що може порушити типову безпеку",D
Чому list[Cat] не можна безпечно трактувати як list[Animal]?,Через Literal,"Через list[Animal] можна було б додати Animal, який не є Cat",Python не підтримує list[Cat],Cat не може бути підтипом Animal,B
Які абстракції можуть підтримувати коваріантність за лекцією?,dict з записом,"Деякі read-only контракти, наприклад Sequence",Будь-який dataclass,Mutable list завжди,B
Що таке TypedDict?,Generic list,Протокол ітератора,Новий runtime-клас словника з іншою реалізацією,Опис словника з відомими ключами та типами значень,D
Чим є TypedDict під час виконання?,Звичайним dict,Окремим спеціальним контейнером C,Tuple,Dataclass,A
Для яких структур особливо корисний TypedDict?,Для context manager,Для потоків,Лише для числових матриць,Для JSON-подібних словників з відомою схемою,D
Що означає NotRequired[str] у TypedDict?,"Ключ обов'язково є, але значення None",Ключ може бути відсутнім,Ключ має тип int,Поле заборонено,B
Чи однакові контракти «ключ відсутній» і «ключ присутній зі значенням None»?,"Так, завжди",TypedDict не розрізняє ключі,Лише в Pyright вони однакові,Ні,D
Для чого використовується NewType?,Щоб статично розрізняти семантично різні значення з однаковим базовим runtime-типом,Для автоматичного cast,Для заміни Literal,Для створення важкого runtime-класу з новою пам'яттю,A
Навіщо окремі UserId і OrderId через NewType?,Щоб створити Union,"Щоб checker не плутав семантично різні ідентифікатори, навіть якщо обидва базуються на int",Щоб змінити int на str runtime,Щоб зробити значення Optional,B
Що означає Final?,Тип останнього елемента,Завершення програми,"Статичний контракт, що значення не планується переприсвоювати або перевизначати",Жорстка runtime-незмінність на рівні інтерпретатора,C
Чи є Final механізмом жорсткої runtime-незмінності?,Лише для ClassVar,Лише для int,Так,Ні,D
Для чого ClassVar?,Щоб зробити метод classmethod,Щоб типізувати локальну змінну,"Щоб явно позначити атрибут класу, а не поле екземпляра",Щоб створити TypeVar,C
Де ClassVar особливо корисний?,У dataclass для відокремлення атрибутів класу від полів екземпляра,Лише в Protocol,У генераторах без класів,У циклах for,A
Для чого використовується Self?,Для створення singleton,Для заміни self runtime,"Для типізації fluent API і методів, що повертають екземпляр поточного класу або підкласу",Для опису будь-якого object,C
Що повертає Builder.configure у прикладі з Self?,Новий int,ClassVar,None,self,D
Для чого assert_never?,Для вимкнення match,Для runtime-конвертації типів,Для перевірки вичерпності закритих union/literal-наборів,Для створення Never-об'єкта,C
"Що може статися після додавання нового значення до State, якщо використано assert_never?",Програма перестане парситися завжди,Аналізатор може вказати на необроблений випадок,Усі case автоматично оновляться,State стане Any,B
Що таке TypeGuard?,Псевдонім Final,"Тип результату функції-предиката, який повідомляє аналізатору про звуження типу",Вид Generic Repository,Декоратор runtime security,B
Що повідомляє TypeGuard[list[str]] у is_str_list?,Список стає immutable,Функція повертає list[str],Після успішної перевірки значення можна звузити до list[str],Функція перетворює object на str runtime,C
Для чого використовується @overload?,Щоб описати для статичного аналізатора кілька сигнатур однієї runtime-реалізації,Щоб замінити Union повністю,Щоб створити кілька runtime-функцій з однаковим ім'ям,Щоб перевантажити процесор,A
Чи є декоровані overload-варіанти окремими робочими runtime-реалізаціями?,Ні,Лише перша,Лише остання без основної реалізації,"Так, кожна виконується окремо",A
Як dataclass інтегрується з type hints?,dataclass ігнорує всі анотації,Type hints дозволені лише без dataclass,dataclass перетворює всі поля на Any,"Анотації визначають поля, а checker перевіряє конструктор і використання атрибутів",D
Що таке forward reference?,Runtime jump,Посилання на майбутній файл,"Посилання в анотації на тип, визначення якого ще не завершено",Імпорт із наступного модуля,C
Для чого в прикладі Node використано from __future__ import annotations?,Для запуску коду в майбутньому,Для ввімкнення mypy,Для перетворення Node на Protocol,Для зручної роботи з анотацією Node | None у контексті forward reference,D
Що робить статичний type checker?,Виконує всі тести замість pytest,Аналізує вихідний код і шукає типові несумісності без необхідності проходити всі runtime-шляхи,Компілює Python у C,Гарантує правильність бізнес-логіки,B
Який приклад помилки може виявити checker?,Логічно неправильну формулу без типових порушень завжди,"Присвоєння результату int-функції змінній, анотованій як str",Помилку дизайну UI,Будь-який баг алгоритму,B
Чи замінює статична перевірка unit-тести?,Ні,Лише у strict mode,"Так, повністю",Лише для Generic,A
Що таке mypy?,Runtime web framework,Менеджер пакетів,Популярний статичний аналізатор типів для Python,База даних,C
Якою командою в лекції запускається mypy для каталогу src?,typing --check src,mypy src/,python src/mypy.py,pip mypy src,B
Що дає strict = true у конфігурації mypy?,Запускає програму в optimized mode,Вмикає набір строгих перевірок,Вимикає анотації,Автоматично виправляє всі помилки,B
Чому для legacy-проєкту strictness часто підвищують поступово?,Бо mypy дозволяє лише один файл,Бо strict не працює з legacy-кодом,Щоб вимкнути CI,Щоб не намагатися одночасно виправити величезну кількість діагностик,D
Де в лекції пропонується фіксувати опції mypy?,Лише в коментарях кожної функції,"У конфігурації проєкту, наприклад pyproject.toml",У змінній середовища PATH,У README без конфігурації,B
Що таке Pyright?,Декоратор typing,Runtime validator JSON,Формат stub-файлів,Статичний type checker з акцентом на швидкий аналіз та редакторний workflow,D
Чи зобов'язані mypy і Pyright завжди давати ідентичну діагностику?,"Так, їх результати завжди побітово однакові",Вони не підтримують однакові стандарти typing,Лише у Windows,Ні,D
Що повинна стандартизувати команда щодо type checker?,Лише назви змінних,Основний checker і його конфігурацію,Виключно версію Git,Тільки колір IDE,B
Для чого використовується reveal_type?,"Щоб побачити, який тип вивів статичний аналізатор",Щоб змінити runtime-тип,Щоб надрукувати __class__ замість checker,Для серіалізації,A
Чи варто залишати reveal_type у production-коді після діагностики?,Він обов'язковий для mypy,Лише в dataclass,Зазвичай ні,"Так, завжди",C
Яким має бути # type: ignore за рекомендацією лекції?,"Локальним, обґрунтованим і за можливості прив'язаним до конкретного коду помилки",Глобальним для всього проєкту,Без пояснення і без коду помилки,На кожному рядку,A
Чому масове type: ignore небезпечне?,Може приховувати реальні дефекти,Воно прискорює checker занадто сильно,Воно видаляє файли .pyi,Воно змінює runtime-типи,A
Що таке stub-файл .pyi?,Файл із типовими сигнатурами без реалізації,Конфігурація Pyright,Файл байткоду,Runtime database,A
Коли корисні .pyi stub-файли?,Тільки для тестів без функцій,Коли runtime-код бібліотеки не містить достатніх анотацій або потрібен інтерфейсний опис,Лише для зображень,Для заміни Python-файлів у виконанні,B
Для чого typed package може містити marker-файл py.typed?,Щоб Python виконував пакет швидше,Для створення wheel без коду,Щоб зробити пакет приватним,Щоб checker-и коректно використовували inline-анотації встановленого пакета,D
