Question,A,B,C,D,Prav_vid
Який синтаксис використовується для lambda-функції?,class,lambda,yield,nonlocal,B
Для чого у тестах пропонується використовувати фікстури?,Для підготовки моків API та тестового оточення,Для зміни синтаксису Python,Для компіляції декораторів,Для створення глобальних змінних,A
Що таке параметризований декоратор?,"Декоратор, фабрика якого приймає параметри і повертає декоратор",Функція лише з *args,Клас без методів,Декоратор без wrapper,A
Що може статися з __name__ без @wraps?,Функція стає lambda,Python завершує програму,Може відображатися ім’я wrapper замість оригінальної функції,Воно завжди стає None,C
Чому safe_log вважається функціональним фасадом політики?,Використовується тільки клас,Усі змінні стають глобальними,Функція add переписує logger,Логування винесене з бізнес-логіки в окрему обгортку,D
Які параметри можуть бути захоплені політикою retry?,Тільки __name__,Тільки result,attempts і delay,Тільки args,C
Що означає fn.__closure__ is None?,Функція не має захоплених змінних замикання,Функція є генератором,Функція має один closure,Функція завершилась з помилкою,A
"Який результат double(5), якщо double=make_multiplier(2)?",7,25,2,10,D
Які метадані допомагає зберегти @wraps(fn)?,Тільки timestamp,"__name__, __doc__, __module__",Тільки кеш,Тільки значення args,B
Яка перевага кешу через замикання щодо глобальних змінних?,Замикання не використовує пам’ять,Стан кешу інкапсульований і не потребує глобальної змінної,Кеш стає доступним усім модулям,Кеш автоматично записується на диск,B
Що означає Cache miss?,Результат знайдено,Функція не має аргументів,Кеш заблоковано,Результату для такого ключа ще немає в кеші,D
Яка політика зберігає результати між викликами?,safe_log,retry,cache,sleep,C
Яка концепція є центральною для збереження контексту без класів?,Exception,Замикання,Список,Цикл for,B
Що зберігає замикання safe_log(logger)?,Посилання на logger,Thread ID,Тільки результат fn,Кеш TTL,A
Яке повідомлення логування наведено в safe_log?,Cache miss only,TTL expired forever,Call {fn.__name__},All retries failed,C
Які три політики пропонується реалізувати в домашньому завданні?,"retry, cache і safe_log","map, filter і reduce","class, staticmethod і property","sort, zip і enumerate",A
Для чого потрібна invalidate у кеші?,Для збільшення TTL,Для зміни імені функції,Для повторної декорації,Для ручного очищення всього кешу або окремого ключа,D
Для чого використовується nonlocal count?,Щоб зробити count глобальним,Щоб змінювати count із зовнішньої локальної області,Щоб видалити count,Щоб перетворити count у константу,B
Для чого використовується monkeypatch у pytest-прикладі?,Для підміни залежностей або поведінки під час тесту,Для вимірювання часу,Для кешування функції,Для створення потоків,A
Чи можна використати замикання для інкапсуляції стану без класів?,Так,Тільки для чисел,Тільки в Java,Ні,A
Що містить fn.__closure__ для замикання?,Кортеж cell-об’єктів,Рядок із кодом функції,Список аргументів,Словник усіх глобальних змінних,A
Що робить store.clear()?,Сортує кеш,Збільшує кеш,Очищає весь словник кешу,Зберігає кеш на диск,C
Як у лекції пропонується включити **kwargs у ключ кешу?,id(kwargs),list(kwargs),"(args, tuple(sorted(kwargs.items())))",str(args) без kwargs,C
Що демонструє counter() із nonlocal count?,Генератор,Створення глобальної змінної,Рекурсію,Інкапсуляцію змінюваного стану без класу,D
"Що робить safe_log, якщо logger.info викликає виняток?",Повторює лог нескінченно,Завжди завершує програму,Очищає кеш,Перехоплює виняток логера і продовжує виклик основної функції,D
Де зберігається data={} у простому cache()?,У замиканні,На диску,У глобальному namespace,У системному реєстрі,A
Що потрібно протестувати для cache?,Тільки logger.info,Повторне використання результату та TTL/інвалідацію,Лише синтаксис @,Тільки Exception,B
Навіщо jitter корисний при роботі із зовнішніми сервісами?,Гарантує відсутність мережевих помилок,Замінює кеш,Робить функцію чистою,Зменшує ризик одночасних повторних запитів багатьох клієнтів,D
Що відбудеться при другому швидкому get_data(10) до завершення TTL?,Кеш очиститься,Буде повернуто кешований результат,Функція обов’язково перерахується,Виникне RuntimeError,B
"Що має повернути add(2,3), якщо логер у safe_log несправний?",None,0,RuntimeError обов’язково,5,D
Для чого в багатопоточному кеші використовується threading.Lock?,Для форматування логів,Для синхронізації доступу до спільного кешу,Для створення ключів,Для вимірювання часу,B
Що визначає attempts у retry?,TTL кешу,Максимальну кількість спроб,Кількість аргументів,Розмір журналу,B
Чому count продовжує існувати після завершення make_counter()?,"Через garbage collector, який дублює змінні",На нього зберігає посилання внутрішня функція,Python робить усі змінні глобальними,Через імпорт functools,B
Що таке декоратор у Python?,Спеціальний цикл,"Функція, яка обгортає іншу функцію та змінює або розширює її поведінку",Команда компілятора,Тип словника,B
"Що поверне apply_twice(inc, 3), якщо inc(x)=x+1?",3,4,6,5,D
Для чого використовується functools.wraps?,Для блокування кешу,Для повторного виклику функції,Для збереження метаданих оригінальної функції,Для створення потоку,C
Який зовнішній API наведено як приклад у домашньому завданні?,NumPy API,Google Drive,GitHub Actions,JSONPlaceholder posts,D
Яке завдання простого cache-декоратора?,Сортувати аргументи,Завжди повторно обчислювати результат,Видаляти функцію після виклику,Повертати збережений результат для повторного виклику з тими самими аргументами,D
Що зберігає closure параметризованого retry?,Тільки ім’я exception,Налаштування політики повторів,Усі мережеві відповіді назавжди,Весь стек Python,B
Яку проблему може спричинити кеш без Lock у багатопотоці?,Неможливість викликати time.time,Відсутність closure,SyntaxError,Гонки даних,D
Чому time.monotonic() кращий за time.time() для вимірювання інтервалів?,Він стійкіший до змін системного годинника,Він автоматично створює log,Він працює без CPU,Він завжди повертає ціле число,A
Що відбудеться після time.sleep(4) при TTL=3?,Завжди повернеться старий кеш,Функція перестане працювати,TTL стане 4,Результат буде обчислено заново,D
"Що є бізнес-логікою у прикладі декорованої add(a,b)?",Обчислення a+b,Логування виклику,Кешування,Retry,A
"Що поверне add(2,3), обгорнута safe_log, якщо логер працює?",INFO,23,5,None,C
"Що відбувається, якщо всі retry-спроби невдалі у прикладі?",Функція виконується нескінченно,Піднімається RuntimeError,Кеш очищається,Повертається завжди 0,B
Що відбувається після завершення TTL?,Функція видаляється,Кеш стає вічним,Значення вважається простроченим і результат обчислюється заново,Python завершує процес,C
Який атрибут Python дозволяє перевірити захоплені змінні функції?,__cache__,__closure__,__state__,__globals_only__,B
Для чого використовується logger.info?,Для запису інформаційного повідомлення,Для повторного виклику функції,Для блокування потоку,Для кешування результату,A
Що означає maxsize=128 у lru_cache?,Кількість аргументів функції,Максимальну кількість записів кешу,Кількість потоків,TTL у секундах,B
Який принцип найкраще підсумовує лекцію?,Усі політики треба писати всередині бізнес-функцій,"Замикання зберігають контекст, а декоратори інкапсулюють повторно використовувані політики",Глобальні змінні кращі за closure,Декоратори потрібні лише для класів,B
Що є головною метою @wraps у декораторах retry/cache/timing?,Автоматично додати Lock,Створити TTL,Зберегти ідентичність і метадані декорованої функції,Зробити функцію рекурсивною,C
Як називається модуль фасаду в домашньому завданні?,api_facade.py,decorator.csv,closure.json,main_cache.txt,A
Що означає побічний ефект логування в цьому контексті?,Параметр декоратора,Головне повернене значення функції,"Додаткова дія, яка не є основним результатом функції",Локальна змінна args,C
Для чого використовується timing-декоратор?,Для вимірювання часу виконання функції,Для перетворення аргументів,Для повторних спроб,Для кешування,A
Чому необмежений кеш може бути проблемою?,Він забороняє kwargs,Він може безконтрольно споживати пам’ять,Він не зберігає результатів,Він завжди повільніший за sleep,B
Яка функція часу використана в простому TTL-прикладі?,random.time(),time.time(),datetime.sort(),time.sleep() як timestamp,B
Що таке замикання (closure)?,Анонімна функція,Клас із приватними полями,"Функція, яка пам’ятає змінні із зовнішнього оточення після завершення зовнішньої функції",Функція без параметрів,C
Що показує len(fn.__closure__)?,Кількість викликів функції,Кількість захоплених змінних,Розмір кешу,Кількість аргументів функції,B
Що таке функція вищого порядку (HOF)?,Функція лише з двома аргументами,"Функція, яка приймає функцію як аргумент або повертає функцію",Рекурсивна функція,"Функція, яка завжди повертає список",B
Що робить retry-декоратор?,Вимірює тільки час,Перетворює функцію на генератор,Кешує результат,Повторює виклик функції після невдалих спроб,D
Що означає композиція декораторів?,Сортування декораторів за ім’ям,Створення тільки одного closure,Послідовне обгортання функції кількома декораторами,Об’єднання словників,C
Що потрібно протестувати для safe_log?,Що логер змінює return,Що збій логування не змінює результат основної функції,Що функція завжди завершується помилкою,Що кеш росте,B
"Що станеться, якщо у ключ кешу без перетворення потрапить list?",Можливий TypeError: unhashable type,Python створить hash для будь-якого list,Кеш очиститься,Список автоматично стане tuple,A
Що означає інкапсуляція політик у функціональному стилі?,Переписування бізнес-логіки всередині кожної функції,Заборону замикань,Використання лише класів,Винесення додаткових правил виконання в окремі обгортки-декоратори,D
Що визначає delay у retry?,Час життя closure,Кількість потоків,Розмір кешу,Затримку між повторними спробами,D
Що має повернути timing-wrapper після вимірювання часу?,Тільки тривалість,Завжди None,Результат оригінальної функції,Тільки ім’я функції,C
Яка основна мета звичайної функції у порівнянні із замиканням?,Виконати дію або логіку без обов’язкового збереження стану,Працювати тільки як декоратор,Завжди зберігати приватний стан,Завжди бути анонімною,A
Яка політика вимірює тривалість виконання?,invalidate,cache,timing,retry,C
Що таке safe_log у контексті лекції?,Система авторизації,Функція сортування логів,"Декоратор безпечного логування, збій якого не змінює результат функції",Декоратор кешування,C
Яке обмеження має початкова версія wrapper(*args) без **kwargs?,Не може використовувати dict,Не підтримує позиційні аргументи,Не підтримує ключові аргументи,Не може повертати результат,C
