Question,A,B,C,D,Prav_vid
"Який рівень logging відповідає нормальній події, наприклад запуску сервісу?",ERROR,DEBUG,CRITICAL,INFO,D
"Який рівень logging підходить для потенційної проблеми, після якої буде retry?",DEBUG,WARNING,CRITICAL,INFO,B
"Який рівень logging підходить, якщо операція не виконана?",INFO,ERROR,WARNING,DEBUG,B
"Який рівень logging підходить для критичної відмови, коли сервіс не стартує?",DEBUG,WARNING,INFO,CRITICAL,D
Який патерн рекомендовано для module logger?,logging.getLogger(__name__),logging.getLogger('*'),print(__name__),logging.Logger(None),A
Для чого logger.exception?,Для встановлення рівня INFO,Для пригнічення помилки,Для створення власного exception,Для логування повідомлення разом із traceback усередині except,D
Де слід викликати logger.exception?,Тільки до try,Усередині except,Лише в finally без exception,У визначенні класу,B
Що визначають logging handlers?,Типи exceptions,Синтаксис try,MRO класів,Місце призначення повідомлень,D
Для чого RotatingFileHandler?,Для обмеження розміру локального журналу через ротацію,Для створення context manager,Для шифрування паролів,Для автоматичного retry,A
Що повинен містити стабільний формат журналу за лекцією?,Тільки traceback,"Щонайменше час, рівень, logger та повідомлення",Лише повідомлення,Пароль користувача,B
Що не слід записувати в logs?,Назву logger,Час події,"Паролі, токени, секретні ключі та повні платіжні реквізити",Рівень повідомлення,C
Чому не варто логувати Authorization header?,Logging не підтримує headers,Це синтаксична помилка,Він завжди порожній,Він може містити секретні дані,D
Що корисно додавати в log як контекст з урахуванням приватності?,Повний токен доступу,Секретний ключ,Request/order/user ID,Пароль,C
Де слід перевіряти зовнішні дані?,Біля точки входу в систему,Ніколи,Після запису в БД,Лише в найглибшому шарі,A
Що означає fail fast?,Виконувати нескінченний retry,Ігнорувати помилки для швидкості,Виявляти некоректний стан якомога раніше,Завжди завершувати процес при warning,C
Яку перевірку виконує parse_port після int(raw)?,Що port дорівнює 0,Що port більший за 65535,Що port є рядком,"Перевіряє, що port у діапазоні 1..65535",D
Коли retry є доречним?,Для неправильного пароля без змін,Для невалідних даних,"Для тимчасових відмов, наприклад TimeoutError",Для SyntaxError,C
Чому retry не слід використовувати для validation errors?,Бо validation errors завжди завершують Python,Повторення саме по собі не виправить невалідні дані,Бо ValueError не можна перехопити,Бо retry працює лише з файлами,B
Що означає bounded retry?,Retry виконується тільки один раз без перевірки,Кількість повторних спроб обмежена,Retry не має затримок,Retry триває безкінечно,B
Що таке exponential backoff?,Зміна типу помилки,Зменшення кількості exception-класів,Зростаюча затримка між повторними спробами,Миттєві нескінченні повтори,C
Навіщо збільшувати затримку між retries?,Щоб не перевантажувати проблемний сервіс,Щоб зробити операцію неідемпотентною,Щоб приховати traceback,Щоб вимкнути timeout,A
Що потрібно з'ясувати перед retry операції з side effects?,Чи є повторення безпечним та ідемпотентним,Чи використано print,Чи exception успадковує BaseException,Чи є функція dataclass,A
Що таке idempotency?,Завжди успішне виконання,Відсутність logging,Пригнічення всіх exceptions,"Властивість, за якої повторення операції не створює небажаного додаткового ефекту",D
Для чого використовують idempotency key?,Для створення context manager,Для форматування traceback,Щоб безпечніше контролювати повторні операції з side effects,Для заміни timeout,C
Навіщо зовнішнім потенційно блокуючим операціям задавати timeout?,Щоб вони чекали безкінечно,Щоб приховати помилки,Щоб вимкнути мережу,Щоб обмежити час очікування,D
Що таке fallback?,Нескінченний retry,Резервне джерело або спрощена поведінка при відмові основного компонента,Тип логування,Повторний raise без змін,B
Який fallback наведено в лекції для remote_service.load()?,Видалення cache,Використання даних із cache при TimeoutError,Повторення запиту без обмежень,Завершення програми без повідомлення,B
Що таке graceful degradation?,Збереження основної функції при відмові некритичного компонента,Ігнорування критичних помилок,Повне вимкнення системи при будь-якій помилці,Видалення журналів,A
Який приклад graceful degradation наведено в лекції?,При помилці рекомендацій видалити замовлення,Ігнорувати помилку платежу як успіх,"Недоступні рекомендації можна пропустити, але оформлення замовлення продовжити",Повторювати всі операції безкінечно,C
Навіщо потрібні транзакції або компенсаційні дії?,Щоб приховати logs,Щоб уникнути або виправити частковий стан при відмові посеред багаторесурсної операції,Щоб вимкнути cleanup,Щоб замінити validation,B
Для чого assert доречний за лекцією?,Для логування секретів,Для внутрішніх інваріантів,Для обробки TimeoutError,Як основний механізм user validation,B
Чому assert не слід використовувати як основну перевірку недовірених зовнішніх даних?,assert працює лише з рядками,assert не підтримує умови,assert завжди повертає None,"Він призначений для внутрішніх інваріантів, а не контракту зовнішнього вводу",D
Коли API може повернути None замість exception?,При будь-якому programmer error,Коли «не знайдено» є нормальним результатом пошуку,Завжди замість ValueError,При пошкодженні транзакції,B
Що таке exception boundary?,Лише визначення exception-класу,Будь-який рядок з try,Межа списку,"Місце, де є достатній контекст і приймається архітектурне рішення щодо помилки",D
Які приклади exception boundaries наведено в лекції?,Тільки dataclass,Тільки module import,Лише цикл for,"CLI boundary, HTTP handler і worker boundary",D
Чому не треба логувати і повторно породжувати той самий exception на кожному шарі?,Тоді traceback зникає автоматично,Це створює дубльоване logging без додаткової користі,Python забороняє повторний raise,Це завжди SyntaxError,B
Що повинні перевіряти failure-path тести?,"Тип exception, cleanup, rollback, retry count і fallback",Лише happy path,Тільки швидкість програми,Лише форматування коду,A
Який pytest-механізм використано для перевірки очікуваного exception?,pytest.exception_log,pytest.catch,pytest.raises,pytest.retry,C
"Що перевіряє match у pytest.raises(ValueError, match='must not be zero')?",Відповідність тексту повідомлення регулярному виразу/шаблону,Кількість retries,Час виконання,Тип logger,A
Який антипатерн прямо наведено в лекції?,bare except,Використання with,Обмежений retry,Конкретний ValueError,A
Чому надто великий try є антипатерном?,"Він ускладнює розуміння, яка саме операція породила очікувану помилку, і може перехопити зайве",Він вимикає finally,Він не може містити більше одного рядка синтаксично,Він автоматично перетворюється на with,A
Чому нескінченний retry є антипатерном?,Бо TimeoutError не повторюється,Він може безмежно навантажувати систему і не дає контрольованої відмови,Бо Python дозволяє лише три спроби,Бо retry завжди має бути без sleep,B
Чому відсутність timeout є проблемою надійності?,Timeout потрібен лише для локальних обчислень,Timeout автоматично додає logging,Без timeout exception не існують,Зовнішня операція може блокуватися надто довго,D
