Question,A,B,C,D,Prav_vid
Для чого використовується argparse?,CLI-аргументи,Візуалізація,Git,Docker,A
Що дозволяє Cron?,Автоматичний запуск за розкладом,Навчання моделей,Створення CSV,Видалення логів,A
На яких системах переважно використовується Cron?,Linux/macOS,Тільки Windows,Android,iOS,A
Який інструмент Windows аналогічний Cron?,Task Scheduler,GitHub,Docker,Jupyter,A
Що робить schtasks?,Створює задачі у Windows,Навчає модель,Запускає Git,Створює YAML,A
Для чого потрібен блок if __name__ == '__main__'?,Контроль запуску файлу,Створення CSV,Запуск Git,Фіксація seed,A
Що краще використовувати для production pipeline?,main.py,Notebook,Paint,Word,A
Що є типовою помилкою ML-проєктів?,Відсутність логів,Наявність README,Git,Config,A
Чому print() гірший за logging?,Не зберігає історію,Працює швидше,Створює YAML,Запускає pipeline,A
Що краще для параметрів проєкту?,config.yaml,Hardcode,print(),PowerPoint,A
Що дозволяє git log?,Перегляд історії commit,Видалення файлів,Запуск cron,Візуалізацію,A
Що показує git diff?,Зміни у файлах,Список моделей,Графіки,CSV-дані,A
Що не варто запускати як production pipeline?,Jupyter Notebook,main.py,train.py,load_data.py,A
Яка функція використовується для зчитування CSV?,pd.read_csv(),pd.save_csv(),yaml.safe_load(),git add,A
Що робить dropna()?,Видаляє пропущені значення,Створює Git,Навчає модель,Створює лог,A
Який модуль використовується для вимірювання часу?,time,yaml,json,git,A
Що робить time.sleep()?,Імітує затримку,Фіксує seed,Створює commit,Видаляє модель,A
Яка бібліотека часто використовується для збереження моделей?,joblib,pygame,tkinter,requests,A
Що означає test_size=0.2?,20% даних для тесту,20% даних для train,2% даних,200 рядків,A
Для чого потрібен random_state=42?,Фіксація випадковості,Швидший GPU,Більше RAM,Видалення логів,A
Що таке EDA?,Exploratory Data Analysis,External Data API,Error Detection App,Execution Data Access,A
Що краще використовувати для графіків?,Jupyter Notebook,Cron,Git,Task Scheduler,A
Що дозволяє logging.error()?,Логувати помилки,Створювати модель,Видаляти Git,Компілювати код,A
Що таке entry point?,Точка входу програми,CSV-файл,Git branch,Random seed,A
Що краще винести у config?,Шляхи та параметри,Функції Python,README,Jupyter cells,A
Яка команда запускає Python-скрипт?,python main.py,git status,yaml run,cron start,A
Що таке logs/pipeline.log?,Файл журналу,CSV-файл,Модель,Notebook,A
Який файл зазвичай містить опис проєкту?,README.md,train.py,data.csv,main.py,A
Що таке .ipynb?,Файл Jupyter Notebook,JSON-конфіг,Git branch,ML-модель,A
Що таке .pkl?,Файл моделі,CSV-файл,YAML,Notebook,A
"Що робить os.makedirs(..., exist_ok=True)?",Створює папку,Фіксує seed,Навчає модель,Видаляє Git,A
Яка проблема абсолютних шляхів?,Код працює лише на одному ПК,Краща автоматизація,Швидший pipeline,Менше логів,A
Який модуль допомагає працювати зі шляхами?,pathlib,tkinter,flask,pygame,A
Що означає shuffle у train_test_split?,Перемішування даних,Видалення даних,Збереження моделі,Логування,A
Яка структура рекомендована для ML-проєкту?,data/src/config/logs,Лише notebook,Один train.py,Лише CSV,A
Що таке production?,Реальне використання коду,Notebook,Графік,CSV,A
Що таке deployment?,Розгортання застосунку,Видалення seed,Git commit,EDA,A
Який рівень logging найкритичніший?,critical,info,debug,warning,A
Що краще для командної роботи?,Git,Print(),Notebook only,Excel,A
Що означає deterministic у PyTorch?,Детерміновані результати,Видалення GPU,Автоматичний Git,Візуалізація,A
Що таке cron.log?,Лог автоматичного запуску,CSV-файл,ML-модель,Notebook,A
Що означає Pipeline finished successfully?,Pipeline завершився успішно,Сталася помилка,Git commit,Видалено дані,A
Яка головна перевага automation?,Економія часу,Більше ручної роботи,Менше reproducibility,Відсутність Git,A
Що таке hidden state у Notebook?,Прихований стан змінних,Git branch,JSON config,Docker image,A
Що краще використовувати для long-term проєкту?,Структурований pipeline,Лише print(),Notebook без Git,Hardcode,A
Яка команда показує коротку історію Git?,git log --oneline,git diff,git start,git yaml,A
Що робить logging.basicConfig()?,Налаштовує логування,Запускає Git,Навчає модель,Створює notebook,A
Що таке config/config.yaml?,YAML-конфігурація,CSV-файл,Модель,Notebook,A
Що означає reproducible ML?,Можливість повторити експеримент,Видалення логів,Git commit,Створення API,A
Що краще для запуску по розкладу у Linux?,Cron,Task Scheduler,Notebook,Excel,A
Що краще для запуску по розкладу у Windows?,Task Scheduler,Cron only,Notebook,Git,A
Що робить logging.info('Pipeline started')?,Записує старт pipeline,Створює модель,Видаляє дані,Фіксує seed,A
Який підхід рекомендований у лекції?,"Notebook для EDA, scripts для production",Лише notebook,Лише Excel,Без Git,A
