Question,A,B,C,D,Prav_vid
Чому super() не слід трактувати лише як «виклик батьківського класу»?,Він працює лише зі staticmethod,Він використовується тільки в dataclass,Він ніколи не викликає методи класів,"Він працює відповідно до MRO, що важливо при множинному наслідуванні",D
Що таке поліморфізм?,Створення лише одного класу,Обов'язкове множинне наслідування,Перетворення всіх об'єктів на рядки,Можливість працювати через спільний поведінковий контракт з різними реалізаціями,D
Що означає duck typing?,Усі об'єкти повинні наслідувати один ABC,"Об'єкт придатний, якщо надає потрібну поведінку незалежно від формального походження",Тип визначається лише ім'ям класу,Кожен метод має перевіряти type(),B
Чому EmailSender і ConsoleSender можуть використовуватися функцією notify без спільного користувацького базового класу?,Обидва автоматично наслідують MessageSender,notify працює лише з рядками,Python ігнорує виклики методів,Обидва мають потрібний метод send,D
Яке відношення моделює композиція?,is-a,equals-a,has-a,inherits-only,C
У чому одна з переваг композиції?,Вона завжди сильніше зв'язує класи,Компонент можна підмінити іншою реалізацією з потрібною поведінкою,Вона вимагає глибокої ієрархії,Вона забороняє dependency injection,B
Що означає рекомендація «favor composition over inheritance»?,"Часто надавати перевагу композиції для змінних незалежних можливостей, не забороняючи наслідування",Завжди використовувати множинне наслідування,Повністю заборонити наслідування,Замінити всі класи функціями,A
Коли наслідування добре підходить за матеріалом лекції?,Лише для логування,Для стабільної таксономії та справжніх підтипів,Для будь-якого повторного використання коду,Тільки для файлів,B
Що таке делегування?,Передавання виконання окремої відповідальності іншому об'єкту,Створення глобальної змінної,Копіювання всіх методів іншого класу,Заміна композиції циклом,A
Навіщо Service делегує логування Logger?,Щоб уникнути методів,Щоб заборонити тестування,Щоб зберегти чіткішу відповідальність і полегшити підміну логера,Щоб Service став підкласом Logger,C
Який модуль Python використовується для абстрактних базових класів?,typesystem,abc,oop,abstract,B
Що таке ABC?,Декоратор для кешування,"Абстрактний базовий клас, який може формалізувати контракт",Тип контейнера,Автоматичний байткод-компілятор,B
Що робить @abstractmethod?,Позначає метод як обов'язковий для перевизначення в конкретному підкласі,Робить метод static,Автоматично викликає метод,Забороняє мати реалізацію,A
Чи може abstractmethod мати реалізацію?,Лише якщо він staticmethod,"Ні, ніколи",Лише у dataclass,Так,D
Коли ABC особливо корисний?,Лише для генераторів,Коли треба лише створити список,Коли архітектурі потрібен явний номінальний контракт,Для арифметичних виразів,C
Що отримує classmethod як перший параметр?,super,cls,self,module,B
Для чого часто використовується classmethod?,Для створення MRO,Для приховування всіх атрибутів,Як альтернативний конструктор,Для реалізації циклу for,C
Що характеризує staticmethod?,"Він логічно належить класу, але не отримує автоматично ні self, ні cls",Завжди є абстрактним,Може викликатися лише з екземпляра,Завжди отримує self,A
Коли звичайна модульна функція може бути кращою за staticmethod?,Коли функція не має концептуального зв'язку з класом,Ніколи,Коли потрібен self,Коли потрібен MRO,A
Що дозволяє property?,Автоматично створити підклас,Зберегти атрибутний інтерфейс і контролювати доступ або присвоєння,Заборонити читання всіх полів,Замінити __init__,B
Як створюється setter для property celsius?,@property.setter(celsius),Через @staticmethod,Через super().setter,Через @celsius.setter,D
Яку перевірку виконує setter Temperature.celsius у лекції?,Не дозволяє температуру нижче -273.15,Забороняє додатні значення,Перетворює значення на рядок,Дозволяє лише цілі числа,A
Що таке read-only property area у Rectangle?,Абстрактний метод,Обчислюваний атрибут без setter,Атрибут класу зі значенням 0,staticmethod,B
Чому area не потрібно зберігати окремо?,Rectangle не має стану,Property не може повертати числа,Воно обчислюється з поточних width та height,Python автоматично кешує area,C
Для чого використовується @dataclass?,"Для автоматизації boilerplate у класах, орієнтованих на структуровані дані",Для асинхронності,Для множинного наслідування,Для створення лише абстрактних класів,A
Які методи може автоматично генерувати dataclass?,Лише __enter__ та __exit__,Тільки abstractmethod,"Зокрема __init__, __repr__ та __eq__",Лише __next__,C
Для чого field(default_factory=list)?,Щоб усі екземпляри ділили один список,Щоб зробити поле immutable,Щоб поле стало classmethod,Щоб створювати новий список для кожного екземпляра,D
Яку проблему запобігає default_factory для mutable поля?,Diamond inheritance,Name mangling,Спільному mutable default між екземплярами,MRO conflict,C
Коли викликається __post_init__ у dataclass?,До створення класу,Після автоматично згенерованого __init__,Перед import,Лише при видаленні об'єкта,B
Для чого можна використовувати __post_init__?,Для створення staticmethod,Лише для друку,Для валідації або обчислення похідних полів,Для зміни MRO,C
Що означає frozen=True у dataclass?,Забороняє створювати екземпляри,Робить об'єкт абстрактним,Емулює незмінність на рівні API dataclass,Заморожує виконання програми,C
Що може дати slots=True у dataclass?,Створення property для всіх полів,Зменшення накладних витрат і обмеження довільних нових атрибутів,Мережеву серіалізацію,Автоматичне множинне наслідування,B
Чи є dataclass універсальною заміною всім класам?,Лише в Python 3,Ні,Лише з frozen=True,Так,B
Що таке dunder methods?,"Спеціальні методи з подвійними підкресленнями, пов'язані з Python Data Model",Будь-які приватні методи,Методи сторонніх бібліотек,Лише абстрактні методи,A
Для кого переважно призначений __repr__?,Для мережевого протоколу,Для розробника та діагностики,Лише для кінцевого користувача,Для створення iterator,B
Для чого переважно використовується __str__?,Для читабельного представлення об'єкта,Для множення,Для визначення рівності,Для MRO,A
Який dunder method перевантажує оператор +?,__plus__,__concat__,__sum__,__add__,D
Що доцільно повернути з __add__ для непідтримуваного типу?,StopIteration,NotImplemented,False,None завжди,B
Навіщо __add__ повертає NotImplemented для чужого типу?,Щоб створити property,Щоб Python міг спробувати віддзеркалену операцію або сформувати TypeError,Щоб вимкнути оператор +,Щоб завершити інтерпретатор,B
Який dunder method відповідає за рівність?,__eq__,__equal_to__,__same__,__cmp_only__,A
Який dunder method відповідає за оператор < у прикладі Score?,__less__,__lt__,__min__,__before__,B
Для чого використовується functools.total_ordering?,Для кешування,Для сортування списку одразу,Для MRO,Для генерації решти операцій упорядкування на основі __eq__ і одного ordering-методу,D
Який dunder method підтримує len(obj)?,__count__,__size__,__length__,__len__,D
Який dunder method підтримує obj[index]?,__element__,__getitem__,__at__,__index_get__,B
Який dunder method може підтримувати оператор in?,__find__,__contains__,__membership__,__inside__,B
"Як зробити власний контейнер iterable, якщо він зберігає внутрішній список?",Реалізувати лише __len__,Додати staticmethod iter,Обов'язково створити окремий iterator-клас,Повернути iter(self._members) з __iter__,D
Що робить __call__?,Дозволяє викликати екземпляр як callable,Робить клас абстрактним,Визначає рядкове представлення,Створює контекстний менеджер,A
Для яких сценаріїв у лекції згадано __call__?,Лише арифметика,Тільки наслідування,Лише читання файлів,"Stateful strategy, callback і конфігуровані трансформації",D
Які dunder methods реалізують context manager protocol?,__iter__ та __next__,__enter__ та __exit__,__repr__ та __str__,__eq__ та __lt__,B
Що таке MRO?,Порядок створення змінних,Менеджер ресурсів,Механізм серіалізації,Порядок пошуку атрибутів і методів в ієрархії класів,D
Який алгоритм лінеаризації використовує Python для MRO при множинному наслідуванні?,C3 linearization,Round Robin,Dijkstra,QuickSort,A
Як можна переглянути MRO класу D?,super(D) без аргументів,D.mro() або D.__mro__,D.__dict__ лише,len(D),B
Що таке diamond inheritance?,Циклічний імпорт,Dataclass з чотирма полями,"Ієрархія, де кілька шляхів наслідування сходяться до спільного базового класу",Композиція двох об'єктів,C
Що забезпечує cooperative super() у diamond hierarchy?,Ігнорування MRO,Створення копії кожного базового класу,Прямий виклик лише класу A,Передавання керування наступному класу в MRO,D
Що важливо для cooperative __init__ у множинному наслідуванні?,Лише positional аргументи без домовленостей,Обов'язковий dataclass,Узгоджені сигнатури або keyword-аргументи,Відсутність super(),C
Що таке mixin?,"Невеликий клас, який додає вузьку можливість і не є самостійною доменною сутністю",Функція декоратор,Обов'язково абстрактний базовий клас,Головний доменний God Object,A
Яким має бути хороший mixin?,Без жодного методу,Максимально великим,Малим і чітко сфокусованим,З великою кількістю несумісних відповідальностей,C
Який ризик великої кількості mixins?,Автоматична втрата атрибутів,Неможливість створити клас,Повна заборона наслідування,Ускладнення MRO та походження поведінки,D
Що означає літера S у SOLID?,State Inheritance Design,Static Responsibility Principle,Single Responsibility Principle,Simple Runtime Protocol,C
Що означає літера O у SOLID?,Ordered Code Principle,Open/Closed Principle,Object Creation Principle,Optional Class Principle,B
Що означає літера L у SOLID?,Linearization Principle,Liskov Substitution Principle,Local State Principle,Lazy Loading Principle,B
Що означає літера I у SOLID?,Internal State Principle,Inheritance Selection Principle,Interface Segregation Principle,Instance Safety Principle,C
Що означає літера D у SOLID?,Dependency Inversion Principle,Delegation Isolation Principle,Data Inheritance Principle,Dynamic Interface Principle,A
У чому суть SRP?,Клас повинен мати одну добре визначену групу причин для зміни,Клас не повинен мати стану,Клас має бути singleton,Клас повинен мати рівно один метод,A
Чи означає SRP «один метод на клас»?,Так,Лише для dataclass,Лише для ABC,Ні,D
У чому суть OCP?,Усі методи мають бути private,Клас повинен бути завжди закритим для наслідування,Нову поведінку бажано додавати без постійного редагування стабільного ядра,Нову поведінку треба додавати тільки if/elif,C
Як Strategy у прикладі зі знижками підтримує OCP?,PriceCalculator переписується для кожної знижки,Знижки зберігаються лише як числа,Усі знижки кодуються одним if,Новий тип знижки додається новою реалізацією без зміни PriceCalculator,D
У чому суть LSP?,Підклас завжди повинен мати більше методів,Підтип повинен коректно замінювати базовий тип без порушення контракту,Базовий клас має бути dataclass,Підклас не може перевизначати методи,B
Чого підклас не повинен робити відповідно до LSP?,Перевизначати __repr__,Неочікувано посилювати передумови або послаблювати гарантії,Мати власні атрибути,Використовувати property,B
У чому суть ISP?,"Клієнти не повинні залежати від методів, які їм не потрібні",Інтерфейси заборонені,Усі класи повинні мати один великий інтерфейс,Кожен клас повинен наслідувати два ABC,A
Чому Readable і Writable розділено у прикладі ISP?,Щоб заборонити read,Щоб створити diamond inheritance,Щоб read-only реалізація не була змушена підтримувати безглуздий write,Щоб уникнути abstractmethod,C
У чому суть DIP?,Абстракції не слід використовувати,"Високорівнева логіка має залежати від абстракцій/контрактів, а не конкретної інфраструктури",Усі залежності треба створювати всередині методу,Бізнес-логіка має залежати лише від EmailSender,B
Що таке dependency injection?,Створення залежності лише через staticmethod,Передавання залежності об'єкту або функції ззовні,Глобальний імпорт усіх модулів,Автоматичне наслідування залежності,B
Як dependency injection полегшує тестування?,Вимагає реального зовнішнього сервісу,Забороняє mock і fake,Автоматично запускає всі тести,Дозволяє підмінити реальну залежність fake-об'єктом,D
Чи обов'язково використовувати DI-контейнер для dependency injection у Python?,"Так, завжди",Ні,Лише для dataclass,Лише для функцій,B
Яка семантика наслідування у порівняльній таблиці лекції?,owns-file,has-a / uses-a,calls-only,is-a,D
Яка семантика композиції у порівняльній таблиці лекції?,is-a,same-as,subclass-only,has-a / uses-a,D
Який підхід зазвичай має слабше зв'язування?,Diamond inheritance,Композиція,Name mangling,Наслідування,B
Чому ReportService не повинен наслідувати CsvExporter і JsonExporter?,"Експорт є змінною стратегією/компонентом, яку краще передавати через композицію",Python забороняє такі класи,Exporter не може мати методів,Наслідування працює лише з ABC,A
Що таке value object?,Лише mutable list,Будь-який singleton,"Об'єкт, ідентичність якого визначається його значеннями","Об'єкт, рівність якого завжди визначається id()",C
Яка конструкція в лекції використана для Money як value object?,"@dataclass(frozen=True, slots=True)",@staticmethod,@property,@abstractmethod,A
Чим entity відрізняється від value object у наведеному підході?,"Entity може мати стабільну ідентичність, незалежну від поточних значень усіх полів",Entity завжди immutable,Між ними немає концептуальної різниці,Value object завжди має student_id,A
На чому базується рівність Student-entity у прикладі?,На student_id,Лише на name,На всіх полях автоматично,На адресі пам'яті без __eq__,A
Коли клас може бути зайвим?,Коли є поліморфний контракт,"Коли є лише проста чиста операція без стану, інваріантів чи природної сутності",Коли є складний життєвий цикл,Коли потрібно зберігати інваріанти,B
Що таке God Object?,Малий mixin,Абстрактний метод,Value object,"Клас, який знає і робить майже все",D
