Question,A,B,C,D,Prav_vid
Як інтерпретується послідовний await у лекції?,Як applicative apply,Як exception,Як list map,Як монадо-подібний bind,D
Що є «контекстом» для List?,Асинхронність,Відсутність значення,Множинність значень,Помилка,C
Що робить map для List?,Обробляє лише перший елемент,Завжди сортує список,Видаляє всі елементи,Застосовує функцію до всіх елементів,D
Що відбувається з Err у Result.map?,Err видаляється,Помилка перетворюється на Ok,Функція виконується над текстом помилки,Помилка передається далі без застосування функції,D
"Що означає фраза «функтор нічого не робить, якщо значення недоступне»?",map видаляє помилку,map не викликає f і зберігає порожній/помилковий контекст,map створює значення 0,map завершує програму,B
Що робить AsyncValue.map(f)?,Створює список,"Створює нову coroutine, яка очікує стару і застосовує f",Змінює f на None,Одразу блокує програму,B
Що означає запис add :: Int -> Int -> Int у Haskell?,"Тип функції, що приймає два Int і повертає Int",Цикл,Створення трьох змінних,Оголошення класу,A
Що таке Haskell?,Система керування базами даних,Чиста функціональна статично типізована мова з лінивими обчисленнями,Динамічно типізована мова сценаріїв,Python-бібліотека,B
Що є «контекстом» для Option?,Наявність або відсутність значення,Багатопоточність,Лінива компіляція,Мережевий запит,A
Що означає «підняти» функцію в контекст?,"Застосувати звичайну функцію до значень, не руйнуючи контекст",Перетворити функцію на клас,Запустити новий потік,Зробити функцію глобальною,A
Який вираз ілюструє композицію Future.map?,await=sort,future+map=f,future.map(g).map(f) ≃ future.map(lambda x: f(g(x))),future.bind(g)=None,C
Що будується після отримання user та orders?,Functor class,Thread,None,Summary,D
"Що отримує f3 = f2.map(lambda x: x+1), якщо count=10?",Err(11),Одразу число 10,Future із майбутнім значенням 11,None,C
Який Python-контекст у лекції є аналогом Maybe?,Option із Some/None_,Future,dict,Result із Ok/Err,A
Який тип має функторна операція map?,F[A] → A,F[A→B] → F[A] → F[B],F[A] → (A→F[B]) → F[B],(A → B) → F[A] → F[B],D
Що означає закон композиції функтора?,map дорівнює bind,map композиції функцій еквівалентний послідовним map,map має виконуватися тільки один раз,Порядок функцій завжди неважливий,B
Що представляє Invalid?,Future,Накопичені помилки валідації,Успішне значення,Функцію A→B,B
Що зберігає AsyncValue.__init__?,Тільки результат,Thread Lock,Список помилок,Coroutine,D
"Що відбудеться, якщо Future уже завершений під час map?",Future очищається,map завжди завершується помилкою,on_complete може бути викликаний одразу з готовим значенням,Значення втрачається,C
Яка конструкція Haskell може працювати з нескінченним списком?,Thread lock,Ліниві обчислення,Exception handling,Тільки mutable state,B
Яка JavaScript-конструкція наведена як аналог монадичного bind?,Promise.then,setInterval,Array.sort,console.log,A
Який Python-синтаксис приховує монадо-подібну композицію Future?,for/while,import/from,async/await,try/finally,C
"Яка абстракція потрібна, якщо маємо F[A→B] і F[A]?",Applicative/apply,Functor/map лише,Lock,Generator,A
Який тип має applicative apply?,(A→B) → F[A] → F[B],F[A] → (A→F[B]) → F[B],A → B,F[A→B] → F[A] → F[B],D
Що поверне None_.map(lambda x: x + 1)?,Some(1),None_,1,Помилку обов'язково,B
Який підхід дозволяє не розкривати контейнер вручну при перетворенні значення?,map,raise,Глобальна змінна,thread.join,A
Що поверне Ok(10).map(lambda x: x * 2)?,Ok(20),Ok(10),Err(20),20 без контексту,A
Яку операцію реалізує монада крім map?,bind,lock,print,sort,A
У чому ключова ідея аплікатива?,Контекст завжди видаляється,Використовується лише для списків,Функція сама перебуває в контексті і застосовується до значення в контексті,Функція повинна бути глобальною,C
Який перший закон функтора?,Закон інкапсуляції,Закон комутативності множення,Закон ідентичності,Закон Де Моргана,C
Що поверне Some(10).map(lambda x: x + 1)?,None,Some(10),11 без контексту,Some(11),D
Що робить bind в async-пайплайні?,Перетворює Future на List,Завжди виконує операції паралельно,Видаляє await,Бере результат попередньої async-операції і передає його наступній,D
Що таке AsyncValue у прикладі лекції?,Future-подібний контейнер над coroutine,Клас помилки,Звичайний список,Функція валідації,A
"Що станеться при validate_age(age).map(lambda x:x+1), якщо validate_age поверне Ok(20)?",Ok(20),Отримаємо Ok(21),Err(21),21 без Result,B
Що перевіряє validate_email?,Пароль,Вік,Тип Future,"Коректність email, зокрема наявність '@' у прикладі",D
Чому applicative validation може накопичувати помилки?,Бо map видаляє Err,"Незалежні перевірки можна комбінувати, не зупиняючись на першій",Тому що всі помилки ігноруються,Бо validation використовує тільки exceptions,B
Який тип логічно має fetch_orders(user.id)?,Option[int],Order,IO[str],Future[List[Order]],D
Яка різниця між map і bind?,bind не приймає функцій,"map використовує A→B, bind використовує A→F[B]",Вони завжди ідентичні,"map використовує лише List, bind лише Option",B
"Що має статися, якщо кілька полів невалідні?",Повертається лише остання помилка,Повертається Invalid зі списком усіх знайдених помилок,Всі помилки ігноруються,Повертається Valid,B
Який тип має map для Future?,A → Future[A] → A,(A → B) → Future[A] → Future[B],Future[A] → A,Future[A] → List[A],B
Що фактично реєструє Future.map у наведеній моделі?,Глобальну змінну,Callback,SQL-запит,Новий процес ОС,B
Який контекст представляє можливу відсутність значення?,Future,List,IO,Option,D
Як записується закон ідентичності функтора?,map(map(F)) = 0,F.map(id) = None,F.map(id) = F,F.bind(id) = List,C
"Яка абстракція потрібна, якщо маємо F[A] і f:A→F[B]?",Decorator,Tuple,Functor/map,Monad/bind,D
Для чого в демонстрації Future використовується threading.Thread?,Щоб сортувати список,Щоб реалізувати Option,Щоб створити Haskell typeclass,Щоб імітувати асинхронне виконання,D
Що перевіряє validate_password у прикладі?,Тільки ім'я,Довжину та наявність літер і цифр,Лише email,Лише країну,B
Яка з трьох абстракцій є найпростішою?,Applicative,IO,Monad,Functor,D
Що повертається для email='bad' при інших валідних полях?,Invalid з помилкою про email,None,Future,Valid,A
Що представляє Valid у валідаційному контексті?,Список помилок,Асинхронний результат,None,Успішно перевірене значення,D
Який ефект безпосередньо моделює async/await?,Асинхронність,Випадковість,Файлову систему обов'язково,Тільки помилки валідації,A
Який тип має fetch_user() у прикладі?,User без контексту,Result[Error],Future[User],List[User],C
Яке мінімальне значення віку наведене у прикладі валідації?,25,18,21,16,B
"Що станеться з map(f, Err(...))?",Повернеться None,Повернеться Ok(f(error)),Повернеться Err(...),Завжди f(error),C
Що означає Just у Haskell Maybe?,Помилку,Контекст із наявним значенням,Порожній список,Асинхронний потік,B
Чому Promise.then аналогічний bind?,"Він передає результат у наступне обчислення, яке може бути асинхронним",Він завжди повертає число,Він видаляє Promise,Він лише друкує результат,A
Який тип має bind?,F[A→B] → F[A] → F[B],F[A] → (A → F[B]) → F[B],A → B,(A → B) → F[A] → F[B],B
Який стиль коду заохочують Functor/Applicative/Monad?,Дублювання перевірок,Декларативне композиційне опрацювання контекстних обчислень,Максимальне використання глобального mutable state,Відмова від функцій,B
"Чому Python async названо монадо-подібним, а не формально універсальною Monad?",async не повертає значень,Python не має класів,Python не має універсального typeclass-інтерфейсу Monad,Python не підтримує функції,C
"Що спільного між Option, Result, List і Future як функторами?","Вони дозволяють map над значенням, зберігаючи свій контекст",Вони є потоками ОС,Вони не можуть мати помилок,Вони завжди містять одне число,A
Що в лекції концептуально прирівнюється до bind для Future?,yield from list,print,await у послідовному async-ланцюгу,lambda без аргументів,C
Які країни наведені як допустимі у прикладі?,"UA, PL, DE","UA, UK, JP","FR, ES, IT","US, CA, MX",A
Що дозволяє bind порівняно з map?,Забороняти композицію,Наступна функція може сама повернути контекст F[B],Використовувати тільки чисте B,Завжди прибирати помилки,B
Яка базова операція аплікатива?,reduce,apply,await,bind,B
Який контекст представляє багато значень?,Future,IO,List,Result,C
Що робить None_.bind(f)?,Викликає f(None),Повертає None_ без виклику f,Завжди кидає помилку,Повертає Some(None),B
Яка головна мета контекстів у функціональному програмуванні?,Замінити всі функції класами,Працювати зі значеннями разом з ефектами або додатковим контекстом,Зберігати лише глобальні змінні,Заборонити асинхронність,B
"Що має статися, якщо всі поля форми валідні?",Повертається None,Завжди перша помилка,Повертається Invalid([]),Повертається Valid із сформованою RegistrationForm,D
Що означає async def f(): return A у спрощеній формулі лекції?,Функція є Option,Функція завжди дає None,Функція концептуально дає Future[A],Функція дає List[A],C
"Що станеться в тому ж прикладі, якщо validate_age поверне Err?",Вік автоматично стане 18,"lambda не виконається, Err буде передано далі",Err стане Ok,Виконається lambda над текстом помилки,B
"Що поверне av2.run(), якщо get_number() повертає 10, а map додає 5?",15,Future[15] після завершення await,5,10,A
Що робить set_result у прикладі Future?,Видаляє Future,Створює None,Блокує всі потоки,"Зберігає результат, позначає Future завершеним і викликає callbacks",D
Яка перевага накопичення помилок форми?,Не потрібно виконувати перевірки,Видаляються повідомлення про помилки,Форма завжди стає валідною,Користувач одразу бачить усі проблеми,D
Що демонструє map5 у прикладі форми?,П'ять послідовних await,П'ять потоків,Комбінування п'яти незалежних валідованих значень,П'ять рекурсивних викликів,C
"Що дасть list(map(lambda x: x*2,[1,2,3]))?","[2,4,6]",6,"[1,2,3]","[2,3,4]",A
Що повертає fetch_data() у прикладі?,Option,Одразу готовий словник,"Future зі словником, який з'явиться пізніше",List,C
Чому монада зручна для залежних обчислень?,Вона працює тільки з числами,Вона не підтримує функції,Наступний крок може залежати від значення попереднього і повертати новий контекст,Всі кроки мають бути незалежними,C
Яка головна різниця між прямим await і функторним map?,await є операцією List,await завжди швидший у математичному сенсі,map дозволяє описати ланцюг перетворень до фінального await,map не працює з функціями,C
