Question,A,B,C,D,Prav_vid
Яке призначення або значення має «python -m venv .venv» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «python -m pip list»","Виконує функцію, пов’язану з «pytest»",створює локальне віртуальне середовище .venv,"Виконує функцію, пов’язану з «git init»",C
Що з наведеного створює локальне віртуальне середовище .venv?,git init,python -m pip list,pytest,python -m venv .venv,D
Яке твердження про «python -m venv .venv» відповідає матеріалу Лекції №1?,python -m pip list повністю виконує роль «python -m venv .venv»,git init використовується замість «python -m venv .venv»,«python -m venv .venv» створює локальне віртуальне середовище .venv,pytest є основним засобом для цього призначення,C
Студенту потрібно виконати дію: створює локальне віртуальне середовище .venv. Що слід використати?,git init,python -m venv .venv,pytest,python -m pip list,B
Яке призначення або значення має «deactivate» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «pip freeze»","Виконує функцію, пов’язану з «activate»",завершує роботу активованого віртуального середовища,"Виконує функцію, пов’язану з «git switch»",C
Що з наведеного завершує роботу активованого віртуального середовища?,pip freeze,activate,deactivate,git switch,C
Яке твердження про «deactivate» відповідає матеріалу Лекції №1?,pip freeze є основним засобом для цього призначення,«deactivate» завершує роботу активованого віртуального середовища,git switch повністю виконує роль «deactivate»,activate використовується замість «deactivate»,B
Студенту потрібно виконати дію: завершує роботу активованого віртуального середовища. Що слід використати?,pip freeze,deactivate,git switch,activate,B
Яке призначення або значення має «requirements.txt» у професійному Python-проєкті?,може містити список залежностей для повторного встановлення,"Виконує функцію, пов’язану з «README.md»","Виконує функцію, пов’язану з «__init__.py»","Виконує функцію, пов’язану з «.gitignore»",A
Що з наведеного може містити список залежностей для повторного встановлення?,.gitignore,requirements.txt,README.md,__init__.py,B
Яке твердження про «requirements.txt» відповідає матеріалу Лекції №1?,«requirements.txt» може містити список залежностей для повторного встановлення,.gitignore повністю виконує роль «requirements.txt»,README.md використовується замість «requirements.txt»,__init__.py є основним засобом для цього призначення,A
Студенту потрібно виконати дію: може містити список залежностей для повторного встановлення. Що слід використати?,.gitignore,__init__.py,README.md,requirements.txt,D
Яке призначення або значення має «pip freeze» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «ruff»",фіксує встановлені пакети поточного середовища та їх версії,"Виконує функцію, пов’язану з «pytest»","Виконує функцію, пов’язану з «git diff»",B
Що з наведеного фіксує встановлені пакети поточного середовища та їх версії?,pytest,pip freeze,ruff,git diff,B
Яке твердження про «pip freeze» відповідає матеріалу Лекції №1?,«pip freeze» фіксує встановлені пакети поточного середовища та їх версії,pytest повністю виконує роль «pip freeze»,git diff використовується замість «pip freeze»,ruff є основним засобом для цього призначення,A
Студенту потрібно виконати дію: фіксує встановлені пакети поточного середовища та їх версії. Що слід використати?,git diff,pip freeze,pytest,ruff,B
Яке призначення або значення має «editable installation» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «Git merge»","Виконує функцію, пов’язану з «глобальне встановлення»","Виконує функцію, пов’язану з «PEP 8»",робить зміни у вихідному коді одразу доступними встановленому пакету,D
Що з наведеного робить зміни у вихідному коді одразу доступними встановленому пакету?,Git merge,глобальне встановлення,PEP 8,editable installation,D
Яке твердження про «editable installation» відповідає матеріалу Лекції №1?,PEP 8 є основним засобом для цього призначення,«editable installation» робить зміни у вихідному коді одразу доступними встановленому пакету,Git merge повністю виконує роль «editable installation»,глобальне встановлення використовується замість «editable installation»,B
Студенту потрібно виконати дію: робить зміни у вихідному коді одразу доступними встановленому пакету. Що слід використати?,Git merge,editable installation,PEP 8,глобальне встановлення,B
Яке призначення або значення має «IDE» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «venv»","Виконує функцію, пов’язану з «TOML»","Виконує функцію, пов’язану з «pip»","допомагає з навігацією, автодоповненням, debugger, тестами та Git",D
"Що з наведеного допомагає з навігацією, автодоповненням, debugger, тестами та Git?",IDE,pip,venv,TOML,A
Яке твердження про «IDE» відповідає матеріалу Лекції №1?,TOML є основним засобом для цього призначення,venv повністю виконує роль «IDE»,pip використовується замість «IDE»,"«IDE» допомагає з навігацією, автодоповненням, debugger, тестами та Git",D
"Студенту потрібно виконати дію: допомагає з навігацією, автодоповненням, debugger, тестами та Git. Що слід використати?",pip,IDE,venv,TOML,B
Яке призначення або значення має «Debugger» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «pip freeze»","Виконує функцію, пов’язану з «README»","Виконує функцію, пов’язану з «git add»","дозволяє ставити точки зупинки, виконувати код покроково та переглядати змінні",D
"Що з наведеного дозволяє ставити точки зупинки, виконувати код покроково та переглядати змінні?",Debugger,README,git add,pip freeze,A
Яке твердження про «Debugger» відповідає матеріалу Лекції №1?,git add повністю виконує роль «Debugger»,"«Debugger» дозволяє ставити точки зупинки, виконувати код покроково та переглядати змінні",pip freeze використовується замість «Debugger»,README є основним засобом для цього призначення,B
"Студенту потрібно виконати дію: дозволяє ставити точки зупинки, виконувати код покроково та переглядати змінні. Що слід використати?",README,git add,Debugger,pip freeze,C
Яке призначення або значення має «Git» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «pytest»","Виконує функцію, пов’язану з «Ruff»","Виконує функцію, пов’язану з «pip»",є розподіленою системою контролю версій,D
Що з наведеного є розподіленою системою контролю версій?,pytest,Ruff,Git,pip,C
Яке твердження про «Git» відповідає матеріалу Лекції №1?,«Git» є розподіленою системою контролю версій,Ruff є основним засобом для цього призначення,pytest повністю виконує роль «Git»,pip використовується замість «Git»,A
Студенту потрібно виконати дію: є розподіленою системою контролю версій. Що слід використати?,Ruff,pip,Git,pytest,C
Яке призначення або значення має «git add» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «git branch»","Виконує функцію, пов’язану з «git init»","Виконує функцію, пов’язану з «git log»",формує staging area для наступного commit,D
Що з наведеного формує staging area для наступного commit?,git init,git log,git add,git branch,C
Яке твердження про «git add» відповідає матеріалу Лекції №1?,git init є основним засобом для цього призначення,«git add» формує staging area для наступного commit,git log використовується замість «git add»,git branch повністю виконує роль «git add»,B
Студенту потрібно виконати дію: формує staging area для наступного commit. Що слід використати?,git branch,git add,git init,git log,B
Яке призначення або значення має «commit» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «module»","Виконує функцію, пов’язану з «virtual environment»",фіксує логічно завершений стан змін у Git,"Виконує функцію, пов’язану з «dependency»",C
Що з наведеного фіксує логічно завершений стан змін у Git?,commit,module,virtual environment,dependency,A
Яке твердження про «commit» відповідає матеріалу Лекції №1?,«commit» фіксує логічно завершений стан змін у Git,dependency повністю виконує роль «commit»,module є основним засобом для цього призначення,virtual environment використовується замість «commit»,A
Студенту потрібно виконати дію: фіксує логічно завершений стан змін у Git. Що слід використати?,virtual environment,dependency,module,commit,D
Яке призначення або значення має «git log» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «git add»","Виконує функцію, пов’язану з «git init»",показує історію commit-ів,"Виконує функцію, пов’язану з «git status»",C
Що з наведеного показує історію commit-ів?,git init,git status,git add,git log,D
Яке твердження про «git log» відповідає матеріалу Лекції №1?,git init використовується замість «git log»,«git log» показує історію commit-ів,git status є основним засобом для цього призначення,git add повністю виконує роль «git log»,B
Студенту потрібно виконати дію: показує історію commit-ів. Що слід використати?,git init,git log,git status,git add,B
Яке призначення або значення має «git diff» у професійному Python-проєкті?,показує незастейджені зміни у файлах,"Виконує функцію, пов’язану з «git branch»","Виконує функцію, пов’язану з «git log»","Виконує функцію, пов’язану з «git init»",A
Що з наведеного показує незастейджені зміни у файлах?,git log,git branch,git diff,git init,C
Яке твердження про «git diff» відповідає матеріалу Лекції №1?,git init є основним засобом для цього призначення,«git diff» показує незастейджені зміни у файлах,git log використовується замість «git diff»,git branch повністю виконує роль «git diff»,B
Студенту потрібно виконати дію: показує незастейджені зміни у файлах. Що слід використати?,git init,git diff,git branch,git log,B
Яке призначення або значення має «Git branch» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «requirements.txt»","Виконує функцію, пов’язану з «virtual environment»","Виконує функцію, пов’язану з «docstring»",ізолює роботу над функціональністю від стабільної основної версії,D
Що з наведеного ізолює роботу над функціональністю від стабільної основної версії?,virtual environment,Git branch,docstring,requirements.txt,B
Яке твердження про «Git branch» відповідає матеріалу Лекції №1?,requirements.txt повністю виконує роль «Git branch»,virtual environment використовується замість «Git branch»,docstring є основним засобом для цього призначення,«Git branch» ізолює роботу над функціональністю від стабільної основної версії,D
Студенту потрібно виконати дію: ізолює роботу над функціональністю від стабільної основної версії. Що слід використати?,virtual environment,docstring,requirements.txt,Git branch,D
Яке призначення або значення має «Ruff» у професійному Python-проєкті?,"Виконує функцію, пов’язану з «pip»",використовується для автоматичної перевірки стилю та linting,"Виконує функцію, пов’язану з «venv»","Виконує функцію, пов’язану з «Git»",B
Що з наведеного використовується для автоматичної перевірки стилю та linting?,Ruff,Git,pip,venv,A
Яке твердження про «Ruff» відповідає матеріалу Лекції №1?,pip повністю виконує роль «Ruff»,venv є основним засобом для цього призначення,«Ruff» використовується для автоматичної перевірки стилю та linting,Git використовується замість «Ruff»,C
Студенту потрібно виконати дію: використовується для автоматичної перевірки стилю та linting. Що слід використати?,Ruff,Git,venv,pip,A
Яке призначення або значення має «src-layout» у професійному Python-проєкті?,організовує importable код усередині каталогу src і відокремлює його від тестів та службових файлів,"Виконує функцію, пов’язану з «flat single-file layout»","Виконує функцію, пов’язану з «Git staging area»","Виконує функцію, пов’язану з «global site-packages»",A
Що з наведеного організовує importable код усередині каталогу src і відокремлює його від тестів та службових файлів?,src-layout,global site-packages,flat single-file layout,Git staging area,A
Яке твердження про «src-layout» відповідає матеріалу Лекції №1?,global site-packages повністю виконує роль «src-layout»,«src-layout» організовує importable код усередині каталогу src і відокремлює його від тестів та службових файлів,flat single-file layout використовується замість «src-layout»,Git staging area є основним засобом для цього призначення,B
Студенту потрібно виконати дію: організовує importable код усередині каталогу src і відокремлює його від тестів та службових файлів. Що слід використати?,flat single-file layout,Git staging area,global site-packages,src-layout,D
