Question,A,B,C,D,Prav_vid
Що робить summarize(txs)?,Запускає pytest,"Обчислює count, total, avg і by_user",Отримує поточний час,Читає CSV з диска,B
Що описує Callable?,"Об'єкт, який можна викликати як функцію",Лише словник,Лише список,Лише файл,A
Якого доступу радить уникати лекція у чистому ядрі?,Доступу до параметра,Ланцюжків типу a.b.c.d,Виклику локальної функції,Повернення dataclass,B
Яка архітектурна ідея згадана як подальше читання?,Hexagonal/Onion та порти-адаптери,Client-server без шарів,Peer-to-peer файловий обмін,Тільки моноліт,A
Як тестувати assign_bucket детерміновано?,"Передати rnd, що повертає наперед відомі значення",Змінювати системний час,Використовувати print замість assert,Завжди викликати random.random напряму,A
Де в рефакторинговому варіанті формується generated_at?,У dataclass Tx,Всередині filter_ok,У застосунковому/IO-контурі через ін'єктований clock,Всередині summarize,C
Яка обов'язкова сигнатура архітектури для читання?,core.read() -> socket,json.read() -> bool,io.read(path) -> int,"io.read(path) -> tuple[list[Tx], list[Error]]",D
Які моделі виділено в чисте ядро?,Node і Edge,Request і Response,Tx і Summary,User і Product,C
Звідки в Python 3.9+ рекомендовано імпортувати Callable?,collections.abc,datetime,pathlib,json,A
Яка функція є прикладом джерела недетермінізму?,abs(),len(),sum() для фіксованого списку,datetime.now(),D
"Що робить to_json(summary, generated_at)?",Змінює dataclass на mutable,Серіалізує Summary та час у JSON,Рахує gradients,Читає CSV,B
Що таке God-function?,Чиста функція з одним обчисленням,"Функція, яка намагається робити все",Функція без аргументів,Функція тільки для типізації,B
Які основні поля містить Summary?,"user_id, amount, status","seed, uuid, sleep","filename, mode, buffer","count, total, avg, by_user",D
Яким має бути IO-шар за лекцією?,Без жодного перетворення форматів,Найбільшим шаром з усією бізнес-логікою,Тонким і з мінімумом логіки,Єдиним місцем для всіх обчислень,C
Чи змінює typing виконання коду під час runtime?,"Так, автоматично створює тести",Ні,"Так, забороняє всі неправильні значення","Так, завжди прискорює код",B
Яка обов'язкова сигнатура трансформації?,core.transform(txs) -> Summary,app.transform() -> datetime,core.transform() -> file,io.transform() -> RNG,A
Яка вимога до покриття unit-тестами ядра?,Не менше 10%,Покриття не потрібне,Не менше 90%,Рівно 50%,C
Який бонусний параметр CLI запропоновано для CI?,--fail-on-error,--disable-tests,--no-types,--random-time,A
Яка бібліотека використана для property-based тестування?,NumPy,Flask,Tkinter,Hypothesis,D
Яка перевага чистих функцій прямо вказана в лекції?,Неможливість повторного використання,Тестованість,Обов'язкове використання БД,Збільшення кількості глобальних змінних,B
Який головний підсумок щодо ефектів реального світу?,"Вони не зникають, а локалізуються",Їх треба перенести в кожну чисту функцію,Їх потрібно повністю видалити,Їх слід замінити на глобальні змінні,A
Що дозволяє референційна прозорість у міркуваннях про код?,Equational reasoning,Обов'язкове логування кожного рядка,Тільки ручне трасування,Лише інтеграційне тестування,A
Що таке Iterable[T]?,"Об'єкт, по якому можна ітеруватися, з елементами типу T",Клас для серіалізації JSON,Функція без аргументів,Лише змінний список,A
Що перевіряє test_filter_ok?,Що CSV записано в БД,Що JSON містить HTML,Що лишаються тільки транзакції зі status 'ok',Що clock є випадковим,C
Що робить read_csv з status?,Завжди встановлює fail,Шифрує,Обрізає пробіли і переводить у нижній регістр,Перетворює на float,C
Що рекомендується робити з часом і випадковістю?,Приховувати у вкладених print,Викликати їх безпосередньо в ядрі,Зберігати лише в глобальних змінних,Ін'єктувати годинник і RNG як параметри,D
Яке домашнє завдання задано?,Створити SQL-сервер,Побудувати веб-сайт,Навчити нейронну мережу,Реалізувати CSV→JSON з ізоляцією IO,D
Навіщо в моделях використано frozen=True?,Щоб моделі були незмінними,Щоб дозволити приховану мутацію,Щоб автоматично писати JSON,Щоб створити мережевий порт,A
Який файл у прикладі репозиторію містить моделі Tx і Summary?,tests/image.png,src/fp_course/models.py,src/fp_course/random.py,src/fp_course/database.sql,B
Які інструменти статичного аналізу типів згадано?,gcc і clang,npm і yarn,docker і kubectl,mypy і pyright,D
Що означають «грані» або контракти між шарами?,Відсутність будь-яких типів,"Чітко задокументовані типи, допуски і помилки",Випадкові назви змінних,Наявність лише print,B
"Де потрібно нормалізувати пробіли, регістр і типи?",У глобальній змінній,У кожному assert,У функції випадковості,На межі IO,D
"Який тип-порт описує callable, що повертає час?",Tx,Clock,Summary,Iterator,B
Що рекомендується замість сирих dict по всій програмі?,Більше вкладених dict без типів,Моделі dataclass і валідація на межі,Глобальні списки,Випадкові tuple різної форми,B
"Якщо head приймає Iterable[int], що за задумом типізації може повернутися?",Лише float,int або None,Лише str,Завжди bool,B
Що робить compose у прикладі лекції?,Сортує список,Комбінує функції справа наліво,Записує JSON у файл,Читає CSV,B
Що означає FP у контексті лекції?,Фізичне програмування,Файловий протокол,Форматування програм,Функціональне програмування,D
Які помилки перехоплює приклад read_csv?,Лише KeyboardInterrupt,Тільки SyntaxError,KeyError і ValueError,Тільки ImportError,C
Який бонусний режим IO запропоновано для shell-пайплайнів?,Вивід тільки в Excel,Лише файли з BIOS,Тільки GUI-ввід,Читання зі STDIN і вивід у STDOUT,D
Як оголошено модель Tx?,Named socket,Звичайний глобальний dict,MutableMapping без класу,@dataclass(frozen=True),D
Що рекомендується використовувати замість print для журналювання?,exec,logging з рівнями INFO/WARN/ERROR,eval,input,B
"Який тип-порт описує callable, що повертає float для випадковості?",JSON,Mapping,CSV,RNG,D
Де рекомендується зберігати секрети?,".env, не комітити ключі",У коментарях Git,У назві класу,У вихідному коді,A
Що заборонено в ядрі правилом 4?,Локальні аргументи функції,dataclass(frozen=True),Чисті обчислення,Глобальні datetime.now і random.random,D
Скільки балів відведено за тести unit + property?,6 балів,1 бал,4 бали,12 балів,A
Які поля має містити вхідний CSV у домашньому завданні?,"name, age, city","host, port, protocol","user_id, amount, status","x, y, z",C
Яка рекомендація щодо обробки помилок у чеклісті?,Замінити винятки на print('error'),"raise з чітким повідомленням, без голих except",Завжди використовувати except:,Ігнорувати всі винятки,B
Яка послідовність використана у run()?,summarize → open → SQL → commit,to_json → sleep → random → print,read_csv → filter_ok → summarize → to_json,filter_ok → GPU → socket → json,C
"Що означає Callable[..., R]?",Жодних аргументів і жодного результату,"Будь-які аргументи, але результат типу R",Лише один аргумент R,Ітератор з елементами R,B
Що має робити io.write у домашньому завданні?,"Перетворювати summary, errors і generated_at у JSON-рядок або файл",Змінювати Tx на mutable,Запускати Hypothesis,Обчислювати випадковий статус,A
Для чого у test_run_end_to_end використано fixed_clock?,Щоб створити випадковий user_id,Щоб отримати передбачуваний generated_at,Щоб змінити CSV-кодування,Щоб прискорити CPU,B
Яка команда запускає застосунок у прикладі локального запуску?,python install app.exe,python -m fp_course.app sample.csv > out.json,pytest sample.csv > core.py,mypy out.json > sample.csv,B
Скільки балів відведено за чистоту ядра та межі ефектів?,10 балів,20 балів,6 балів,2 бали,C
Чи можна використовувати глобальні константи?,"Так, якщо вони дійсно константи і не залежать від середовища",Лише якщо вони змінюються після кожного виклику,"Так, навіть якщо залежать від поточного часу","Ні, ніколи",A
Який режим mypy вимагається?,mypy --fast,mypy --ignore-all,mypy --strict,mypy --gui,C
Які інструменти форматування/лінтингу згадано?,black і ruff/flake8,Excel і Word,gcc і make,Photoshop і Illustrator,A
Що демонструє тест із tmp_path?,Побудову SQL-індексу,End-to-end складання з тимчасовим CSV-файлом,Роботу мережевого сокета,Використання GPU,B
Яке тестування ядра наведено в лекції?,Тільки ручні тести,Unit-тести,Тільки навантажувальні тести,Лише UI-тести,B
Яка властивість означає однаковий результат для однакових вхідних даних?,Інкапсуляція,Серіалізація,Детермінізм,Поліморфізм,C
Для чого використовується TypeVar?,Для відкриття файлів,Для опису generic-функцій і класів з узгодженим типом,Для логування,Для генерації UUID,B
Яка головна тема лекції 1?,Об'єктно-орієнтоване програмування на Java,Вступ до FP на Python: чистота та межі ефектів,Реляційні бази даних,Комп'ютерні мережі,B
Як лекція пропонує боротися з God-function?,Перенести все в один цикл,Прибрати всі функції,Додати більше глобальних змінних,Розбити на read → transform → write,D
Скільки балів відведено за якість адаптерів IO?,12 балів,8 балів,4 бали,1 бал,C
Де в прикладі репозиторію розміщені адаптери read_csv і to_json?,src/fp_course/core.py,src/fp_course/io_layer/csv_json.py,src/fp_course/models.py,README.md,B
Що зберігає by_user?,Суму amount для кожного user_id,Список статусів Python,Час запуску програми,Кількість файлів для кожного користувача,A
Яка перевага композиції згадана в лекції?,Вона вимагає глобального стану,Вона працює лише з файлами,Вона забороняє функції як значення,Можна будувати ланцюжки трансформацій без проміжних змінних,D
"Що рекомендується робити зі станом, який мутує?",Зберігати все в global,Змінювати аргументи приховано,Посилювати мутацію,Будувати нові структури замість зміни існуючих,D
Які файли для залежностей згадано?,image.png або video.mp4,index.html або style.css,requirements.txt або pyproject.toml,data.db або dump.sql,C
Що в FP відповідає духу закону Деметри?,Композиція через вузькі інтерфейси,Змішування IO і бізнес-логіки,Доступ до всіх полів усіх об'єктів,Використання глобального стану,A
У чому проблема імперативного прикладу app.py?,У ньому немає читання CSV,Він не використовує жодних змінних,"IO, валідація і логіка змішані разом",Він є повністю чистим,C
Який перший крок практики в аудиторії?,Налаштувати Kubernetes,Створити GUI,"Виділити Tx, Summary, filter_ok і summarize",Підключити зовнішню БД,C
Яка роль read_csv у тонкому IO-шарі?,Проводити property-тести,Обчислити всі бізнес-метрики,Зчитати CSV і перетворити рядки на Tx,Генерувати випадкові числа,C
