Question,A,B,C,D,Prav_vid
Яка бібліотека використовується для HTTP‑запитів? (варіант 53),sqlite3,numpy,pandas,requests,D
Який метод requests отримує дані? (варіант 54),get(),load(),read(),post(),A
Що повертає response.json()? (варіант 55),XML,Python‑об’єкт,HTML,SQL,B
Яка структура даних часто приходить з API? (варіант 56),TXT,JSON,Excel,CSV,B
Яка бібліотека використовується для web scraping? (варіант 57),Scikit‑learn,NumPy,TensorFlow,BeautifulSoup,D
Який метод BeautifulSoup знаходить всі теги? (варіант 58),search(),find_all(),find(),scan(),B
Що повертає tag.text? (варіант 59),HTML код,текст тега,URL,таблицю,B
Яка бібліотека використовується для роботи з SQLite? (варіант 60),matplotlib,sqlite3,requests,numpy,B
Що означає CSV? (варіант 61),Column Saved Values,Central System Variables,Comma Separated Values,Computer Storage Version,C
Яка бібліотека Python використовується для роботи з таблицями? (варіант 62),pandas,numpy,requests,bs4,A
Яка функція pandas читає CSV файл? (варіант 63),read_excel(),read_json(),load_csv(),read_csv(),D
Який параметр задає роздільник у read_csv? (варіант 64),sep,dtype,index,encoding,A
"Що означає encoding=""utf-8""? (варіант 65)",тип даних,тип файлу,тип таблиці,кодування тексту,D
Яка функція зберігає DataFrame у CSV? (варіант 66),to_excel(),to_csv(),save(),to_json(),B
Що означає index=False у to_csv? (варіант 67),змінити тип,видалити файл,не зберігати індекс,видалити рядки,C
Який формат файлів використовує Excel? (варіант 68),.txt,.csv,.json,.xlsx,D
Яка функція читає Excel у pandas? (варіант 69),load_excel(),read_csv(),read_excel(),open_excel(),C
Який параметр read_excel вибирає лист? (варіант 70),tab,page,sheet_name,sheet,C
Що означає JSON? (варіант 71),Java Object Script Node,JavaScript Object Notation,Joint System Object Network,Java Script Order Notation,B
Яка функція pandas читає JSON? (варіант 72),read_csv(),json_read(),read_json(),read_sql(),C
Яка бібліотека використовується для HTTP‑запитів? (варіант 73),numpy,pandas,requests,sqlite3,C
Який метод requests отримує дані? (варіант 74),post(),get(),load(),read(),B
Що повертає response.json()? (варіант 75),Python‑об’єкт,HTML,XML,SQL,A
Яка структура даних часто приходить з API? (варіант 76),JSON,CSV,Excel,TXT,A
Яка бібліотека використовується для web scraping? (варіант 77),NumPy,BeautifulSoup,TensorFlow,Scikit‑learn,B
Який метод BeautifulSoup знаходить всі теги? (варіант 78),search(),find_all(),find(),scan(),B
Що повертає tag.text? (варіант 79),текст тега,URL,HTML код,таблицю,A
Яка бібліотека використовується для роботи з SQLite? (варіант 80),sqlite3,matplotlib,requests,numpy,A
Що означає CSV? (варіант 81),Computer Storage Version,Comma Separated Values,Central System Variables,Column Saved Values,B
Яка бібліотека Python використовується для роботи з таблицями? (варіант 82),requests,numpy,pandas,bs4,C
Яка функція pandas читає CSV файл? (варіант 83),read_excel(),read_csv(),load_csv(),read_json(),B
Який параметр задає роздільник у read_csv? (варіант 84),index,encoding,sep,dtype,C
"Що означає encoding=""utf-8""? (варіант 85)",тип даних,тип файлу,тип таблиці,кодування тексту,D
Яка функція зберігає DataFrame у CSV? (варіант 86),to_json(),save(),to_excel(),to_csv(),D
Що означає index=False у to_csv? (варіант 87),не зберігати індекс,видалити файл,змінити тип,видалити рядки,A
Який формат файлів використовує Excel? (варіант 88),.json,.xlsx,.txt,.csv,B
Яка функція читає Excel у pandas? (варіант 89),read_csv(),load_excel(),read_excel(),open_excel(),C
Який параметр read_excel вибирає лист? (варіант 90),sheet,sheet_name,page,tab,B
Що означає JSON? (варіант 91),Joint System Object Network,Java Script Order Notation,Java Object Script Node,JavaScript Object Notation,D
Яка функція pandas читає JSON? (варіант 92),read_csv(),read_sql(),json_read(),read_json(),D
Яка бібліотека використовується для HTTP‑запитів? (варіант 93),numpy,requests,pandas,sqlite3,B
Який метод requests отримує дані? (варіант 94),get(),load(),post(),read(),A
Що повертає response.json()? (варіант 95),Python‑об’єкт,SQL,XML,HTML,A
Яка структура даних часто приходить з API? (варіант 96),JSON,CSV,TXT,Excel,A
Яка бібліотека використовується для web scraping? (варіант 97),NumPy,BeautifulSoup,Scikit‑learn,TensorFlow,B
Який метод BeautifulSoup знаходить всі теги? (варіант 98),find_all(),find(),scan(),search(),A
Що повертає tag.text? (варіант 99),таблицю,URL,текст тега,HTML код,C
Яка бібліотека використовується для роботи з SQLite? (варіант 100),requests,numpy,matplotlib,sqlite3,D
