Question,A,B,C,D,Prav_vid
"Що таке кореляція?","Зв’язок між змінними","Тип графіка","Файл","Бібліотека",A
"Яка бібліотека використовується для чисельних операцій?","NumPy","Flask","Django","OpenCV",A
"Що таке очищення даних?","Видалення помилок і пропусків","Створення графіків","Архівація","Кодування",A
"Що таке презентація проєкту?","Подання результатів","Тип API","CSV","SQL",A
"Що рекомендується у лекції?","Писати висновки людською мовою","Не використовувати графіки","Не пояснювати код","Не очищати дані",A
"Що є результатом EDA?","Виявлення закономірностей","Створення ОС","Монтаж відео","Архівація",A
"Що виконує метод fillna(method='ffill')?","Видаляє дані","Заповнює пропуски попереднім значенням","Створює графік","Експортує PDF",B
"Що таке Kaggle?","Бібліотека Python","Платформа з датасетами","Тип графіка","API",B
"Який формат використовується для презентацій?","PDF","PPTX","DOCX","Усі варіанти",D
"Яка команда використовується для імпорту matplotlib?","import matplotlib","import matplotlib.pyplot as plt","include matplotlib","load matplotlib",B
"Що означає inplace=True?","Створення копії","Зміна об’єкта без копії","Видалення даних","Архівація",B
"Що таке API?","Інтерфейс доступу до даних","Тип графіка","Мова програмування","Бібліотека",A
"Що таке веб-скрейпінг?","Збір даних із вебсайтів","Тип SQL","Архівація","Кодування",A
"Для чого використовується plt.xlabel()?","Підпис осі X","Підпис осі Y","Створення таблиці","Видалення даних",A
"Для чого використовується plt.ylabel()?","Підпис осі X","Підпис осі Y","Створення API","Експорт PDF",B
"Що показує sns.histplot()?","Розподіл даних","Кореляцію","SQL","API",A
"Що таке середній чек?","Середнє значення продажу","Тип графіка","Формат PDF","API",A
"Що може свідчити про високий попит?","Великий обсяг продажів","Низька кореляція","Помилки CSV","SQL",A
"Що повинно містити оформлення проєкту?","Висновки","Графіки","Пояснення","Усі варіанти",D
"Що таке markdown-комірка?","Текстова комірка","Тип SQL","Графік","CSV",A
"Що означає data.groupby('category')?","Групування за категоріями","Видалення категорій","Експорт PDF","Створення API",A
"Що використовується для аналізу залежностей?","data.corr()","dropna()","astype()","fillna()",A
"Що є результатом дослідницького аналізу?","Закономірності та тенденції","Архів","Кодування","API",A
"Яка бібліотека використовується для стилізації графіків?","Seaborn","Flask","NumPy","TensorFlow",A
"Яка функція використовується для повороту підписів осі?","rotation=45","xlabel()","ylabel()","astype()",A
"Що таке сезонний характер продажів?","Зміна продажів у різні періоди","Тип API","CSV","SQL",A
"Що включає структура звіту?","Мета дослідження","Графіки","Висновки","Усі варіанти",D
"Що таке інтерпретація результатів?","Пояснення закономірностей","Архівація","Кодування","SQL",A
"Що рекомендується робити з кожним блоком коду?","Додавати пояснення","Видаляти","Архівувати","Шифрувати",A
"Який формат має Jupyter Notebook?","JSON-подібний","PDF","DOCX","CSV",A
"Що є метою лекції?","Навчити повному циклу роботи з даними","Створити ОС","Навчити монтажу","Створити API",A
"Що таке data-analysis проєкт?","Проєкт аналізу даних","Тип SQL","Бібліотека","Архів",A
"Що використовується для аналізу продажів у часі?","groupby('date')","dropna()","astype()","fillna()",A
"Який графік підходить для категорій?","Стовпчиковий","Лінійний","3D","SQL",A
"Що є результатом очищення даних?","Якісні дані","PDF","Архів","Кодування",A
"Яка функція видаляє пропуски?","dropna()","groupby()","astype()","corr()",A
"Що таке data.gov?","Портал відкритих даних","Бібліотека","Графік","API",A
"Що означає bins=30?","Кількість інтервалів гістограми","Кількість рядків","Тип API","Формат CSV",A
"Що таке mean()?","Обчислення середнього","Створення графіка","Архівація","API",A
"Що таке sum()?","Обчислення суми","Тип SQL","Кодування","Графік",A
"Який формат рекомендується для фінального звіту?","PDF","DOC","TXT","CSV",A
"Що оцінюється у критеріях проєкту?","Очищення даних","Візуалізація","Логіка","Усі варіанти",D
"Що є прикладом відкритого датасету?","Kaggle","Photoshop","Windows","Linux",A
"Що таке plt.title()?","Заголовок графіка","Підпис осі","SQL","API",A
"Що робить plt.xticks(rotation=45)?","Повертає підписи осі","Видаляє графік","Створює CSV","API",A
"Що є домашнім завданням?","Виконати повний проєкт","Створити ОС","Монтаж відео","API",A
"Що таке Notebook?","Інтерактивний документ","Архів","SQL","API",A
"Що таке аналітичний звіт?","Документ із результатами аналізу","Тип графіка","CSV","SQL",A
"Який формат може містити презентація?","PDF","PowerPoint","Усі варіанти","TXT",C
"Що таке data.head( )?","Виведення перших рядків","Видалення рядків","SQL","API",A
"Що таке plt.style.use('default')?","Встановлення стилю графіків","Створення API","Архів","Кодування",A
"Що є прикладом візуалізації?","Гістограма","SQL","API","CSV",A
"Що потрібно робити з неочищеними даними?","Очищати","Архівувати","Видаляти Notebook","Створювати PDF",A
"Що таке практичні рекомендації?","Поради на основі аналізу","Тип SQL","Графік","CSV",A
"Що демонструє підсумковий проєкт?","Здатність працювати з даними","Монтаж відео","Створення ОС","Архівування",A
"Що є прикладом джерела даних?","Excel","API","CSV","Усі варіанти",D
"Що таке PDF?","Формат документа","Тип API","Бібліотека","Графік",A
"Яка бібліотека використовується для роботи з масивами?","NumPy","Seaborn","Flask","Django",A
"Що таке matplotlib?","Бібліотека для графіків","Тип SQL","CSV","API",A
"Що таке seaborn.barplot()?","Стовпчиковий графік","Лінійний графік","API","SQL",A
"Що таке sns.histplot()?","Гістограма","Архів","CSV","API",A
"Що є фінальним етапом проєкту?","Підготовка звіту","Очищення","Імпорт","Кодування",A
