Question,A,B,C,D,Prav_vid
Яка функція з yield функціонально еквівалентна генераторному виразу квадратів?,Функція sorted,"Генератор squares(), що yield x**2",Функція print,"Функція, що return list(range(5))",B
"Коли takewhile(lambda x: x <= 1_000_000, fib()) зупиняється?",Коли наступне число перевищить 1 000 000,Коли зустріне нуль,Після 10 чисел,Ніколи,A
"Що робить drop(n, it)?",Видаляє генератор,Пропускає перші n елементів і повертає решту потоку,Бере лише перші n,Перетворює потік у set,B
Чому генератори добре підходять для API або сенсорних потоків?,Потік може бути дуже великим або нескінченним і оброблятися поступово,API завжди повертає список,Вони не використовують мережу,Генератори автоматично створюють API,A
Коли фактично протікають дані через ланцюжок map → filter?,"Коли результат споживається через for, next, list, sum тощо",Лише при імпорті itertools,Ніколи,Одразу при створенні map,A
Що робить itertools.count(1)?,Створює список із 1 елемента,Повертає лише 1,"Створює нескінченну послідовність 1, 2, 3, ...",Рахує довжину списку,C
Чому небезпечно довільно різати багатобайтний текст бінарними чанками?,Усі символи стануть ASCII,Python забороняє bytes,Текст автоматично стане CSV,Можна розрізати багатобайтний символ між чанками,D
Чи можна пройти звичайний генератор повторно після його вичерпання?,Тільки через sorted,"Так, автоматично скидається","Ні, він уже вичерпаний","Так, але лише двічі",C
Який тип елементів повертає реалізація sliding_window з лекції?,Кортежі (tuple),Множини,Файли,Словники,A
"Що повертає функція, яка містить yield?",Завжди список,Завжди tuple,Файл,Об’єкт-генератор,D
Який аналог islice для звичайних списків найближчий за ідеєю?,Оператор in,Зріз slice,Метод sort,Метод append,B
Яка перевага лінивого ETL для великого файлу?,Файл обов’язково стає меншим,Записи можна читати й обробляти поступово без RAM-піку,Потрібно спочатку завантажити весь файл,Дані автоматично стискаються,B
Яка перевага generator expression при передачі в sum()?,sum автоматично створює GPU-потік,sum працює лише з генераторами,Усі значення кешуються,Не потрібно зберігати всі проміжні елементи,D
Що створює (x**2 for x in range(5))?,Словник,Список,Генератор,Кортеж із п’яти елементів,C
"Що робить takewhile(predicate, iterable)?",Сортує елементи,"Бере елементи, доки умова істинна",Завжди бере фіксовано 10 елементів,Пропускає всі істинні елементи,B
Що робить iter_csv_rows?,Стрімово читає CSV рядок за рядком,Створює ZIP,Завантажує весь CSV у DataFrame,Сортує CSV за першою колонкою,A
Для чого iter_gzip_chunks?,Для створення генераторних виразів,Для шифрування файлів,Для потокового читання gzip без повної декомпресії в пам’ять,Для сортування CSV,C
Що таке JSONL?,"Формат, де кожен рядок містить окремий JSON-запис","Один JSON, який обов’язково займає весь диск",Бінарний формат зображень,Стиснений CSV,A
Що робить itertools.takewhile?,Віддає елементи після першого False включно,Завжди бере половину,Перетворює iterable у список,"Віддає елементи, поки predicate істинний",D
Який цикл використано в нескінченному генераторі fib()?,for i in range(10),while True,while False,do while,B
Яка операція зазвичай запускає фактичне споживання лінивого потоку?,Ітерація через for/next або агрегатор на кшталт sum,Коментар у коді,Саме присвоювання generator expression змінній,Імпорт typing,A
Що генерує fib()?,Нескінченний потік чисел Фібоначчі,Випадкові числа,Факторіали,Скінченний список простих чисел,A
До якого значення прямує відношення сусідніх чисел Фібоначчі?,Приблизно 1.618,Рівно 1,Рівно 2,Приблизно 3.14,A
Що робить itertools.dropwhile?,Видаляє весь iterable,Зупиняється на першому True і нічого не повертає,"Пропускає початкові елементи, поки predicate істинний, потім віддає решту",Бере лише перший елемент,C
Що таке модуль itertools?,Модуль для баз даних,Модуль для GUI,Набір інструментів для ефективної роботи з ітераторами,Модуль для машинного навчання,C
Який результат дає countdown(5) при повному проходженні?,"5, 5, 5, 5, 5","0, 1, 2, 3, 4","1, 2, 3, 4, 5","5, 4, 3, 2, 1",D
Для чого параметри start/stop у read_in_chunks?,Для сортування чанків,Для запуску й зупинки Python,Для вибору кодування,Для читання визначеного діапазону файлу,D
"Що слід зробити, якщо потрібен багаторазовий довільний доступ до результатів генератора?",Матеріалізувати їх у список,Використати while True,Додати yield,Викликати next() нескінченно,A
Яка головна небезпека нескінченних ітераторів?,Вони завжди створюють список,Необмежене споживання без islice/takewhile або іншої умови зупинки,Вони не підтримують next,Вони працюють тільки один раз і одразу завершуються,B
Що може статися при pd.read_csv('huge.csv') для дуже великого файлу?,Файл автоматично стане генератором,pandas завжди читає лише один рядок,Виникне StopIteration до читання,Може виникнути надмірне споживання пам’яті або MemoryError,D
Який генераторний вираз об’єднує map квадратів і filter парних квадратів?,sum(range(10)),(x**2 for x in range(10) if (x**2) % 2 == 0),[x for x in range(10)],(x for x in range(10) if x < 0),B
Чому для тексту важливо явно задавати encoding?,Щоб увімкнути itertools,Щоб прискорити CPU вдвічі,Щоб зробити генератор нескінченним,Щоб правильно декодувати символи,D
Що є важливою властивістю більшості інструментів itertools?,Вони автоматично кешують усі дані,Вони повертають ітератори та підтримують ліниву обробку,Вони працюють лише з файлами,Вони завжди повертають великі списки,B
"Навіщо в ETL-прикладі використано islice(stream, 10000)?",Щоб пропустити 10000 елементів,Щоб обмежити обробку першими 10000 елементами,Щоб створити 10000 копій,Щоб відсортувати записи,B
Що означає твердження «ледачість = контроль ресурсів»?,Усі дані кешуються назавжди,Обчислюються й зберігаються лише потрібні поточні дані,Програма не використовує CPU,Програма не виконує циклів,B
Що таке генераторний вираз?,Синтаксис створення класу,Короткий синтаксис створення лінивого генератора,Команда імпорту,Різновид словника,B
Яка головна тема лекції №5?,Асинхронні сокети,Рекурсія та мемоізація,ООП та наслідування,"Ліниві обчислення, генератори та itertools",D
Що робить itertools.islice?,Обчислює суму,Створює повну копію iterable,Ліниво вибирає зріз елементів ітератора,Сортує iterable,C
Який принцип використовує jsonl_etl у лекції?,Кешувати весь файл,Сортувати весь файл у пам’яті,Завантажити всі записи перед фільтрацією,"Читати, фільтрувати, трансформувати й записувати по одному запису",D
Чи підтримує генератор довільний доступ gen[0]?,Тільки після list(gen) без перетворення,Так,Тільки для int,Ні,D
"Що являє собою chunk при pd.read_csv(..., chunksize=100_000)?",Словник усіх даних,Невеликий DataFrame з частиною рядків,Один символ файлу,Окремий процес Python,B
Що робить map у Python 3?,Фільтрує лише True,Сортує дані,Завжди повертає список,Повертає лінивий ітератор результатів функції,D
Який типовий розмір чанка названо практичним для HDD/SSD та мережевих FS?,Приблизно 1–8 MB,Рівно 1 KB,1–8 GB обов’язково,1–8 байтів,A
Який результат такого пайплайна квадратів після list()?,"[0, 2, 4, 6, 8]","[1, 9, 25, 49, 81]","[4, 16, 64]","[0, 4, 16, 36, 64]",D
Для чого в split_bytes може використовуватись sep=b'\n'?,Для поділу потоку на рядки,Для множення байтів,Для кодування UTF-16,Для створення gzip,A
Що робить iter_lines?,Повертає весь файл одним рядком,Видаляє кодування,Потоково віддає текстові рядки без завантаження всього файлу,Сортує рядки,C
Як pandas підтримує порційне читання CSV?,Через itertools.count,Через параметр chunksize,Через параметр recursion,Через yield у назві файлу,B
Що робить itertools.repeat(x)?,Сортує x,Видаляє x,Ліниво повторює значення x,Обчислює x²,C
"Для чого використовується sliding_window(it, k)?",Для сортування потоку,Для лінивого формування ковзних вікон розміру k,Для кешування всього потоку,Для видалення кожного k-го елемента,B
Як можна отримувати назви колонок CSV у потоковому режимі?,Використати csv.DictReader,Використати memoryview,Використати hashlib,Використати itertools.count,A
Що робить itertools.permutations?,Обчислює середнє,Генерує перестановки елементів,Створює нескінченний count,Групує однакові елементи,B
Який підсумок найкраще описує генератор?,Список із довільним доступом,"Лінивий одноразовий ітератор, що видає значення поступово та зберігає стан","Функція без стану, що завжди повертає всі дані",Статичний масив,B
Що зберігає буфер split_bytes між чанками?,Тільки перший байт,Хеш усіх файлів,Незавершений хвіст запису,Увесь уже оброблений файл,C
Яка перевага потокового JSONL ETL?,Стабільне споживання пам’яті для великих файлів,Не потрібно відкривати файл,Усі записи обробляються паралельно,Автоматичне видалення помилок у JSON,A
Яку проблему вирішує split_bytes?,Перетворює bytes у float,Видаляє всі роздільники з диска,"Збирає записи, які можуть розриватися між сусідніми чанками",Завантажує весь файл,C
"Що робить read_in_chunks(path, size)?",Потоково читає файл блоками заданого розміру,Стискає файл,Читає тільки перший байт,Завантажує весь файл у RAM,A
Що робить itertools.combinations?,Повторює один елемент,Генерує комбінації без урахування порядку,Генерує лише перестановки всіх елементів,Сортує iterable,B
Яка перевага chain порівняно зі створенням нового об’єднаного списку?,Автоматично видаляє повтори,Може працювати ліниво без великої проміжної колекції,Працює лише з числами,Завжди сортує дані,B
Що дозволяють обробляти ліниві обчислення?,Тільки рядки,Лише файли CSV,Потенційно нескінченні потоки даних,Лише списки до 100 елементів,C
Чому в обчисленні відношень Fibonacci пропускають початкову пару з нулем?,Щоб пришвидшити генератор у 10 разів,Щоб уникнути ділення на нуль,Бо islice не підтримує нуль,Щоб отримати лише парні числа,B
Що таке ліниві обчислення (lazy evaluation)?,Попереднє обчислення всіх значень,"Обчислення значень лише в момент, коли вони потрібні",Збереження всіх результатів у глобальному списку,Виконання лише рекурсивних функцій,B
Що робить read_numbers(path) з yield у прикладі?,Сортує файл,Видаляє порожні рядки без читання,Завантажує весь файл у список,Читає файл рядок за рядком і видає числа,D
Як можна обчислити SHA-256 великого файлу без RAM-піку?,Використати sorted,Перетворити файл у список символів,Оновлювати hashlib.sha256() послідовними чанками,Спочатку прочитати весь файл у один bytes,C
Яка головна ідея лекції №5 сформульована на початку?,Кожен генератор треба перетворити на tuple,"Не обчислюй усе — обчислюй лише те, що потрібно зараз",Завжди створюй список перед обчисленням,Уникай itertools,B
Що означає on-demand у контексті генератора?,Значення обчислюється за потреби,Обчислення виконується лише вночі,Значення ніколи не обчислюються,Усі значення обчислюються при імпорті,A
Чим generator expression відрізняється від list comprehension?,Нічим,Генератор не можна ітерувати,Список завжди нескінченний,"Генератор обчислює елементи поступово, список — одразу",D
Що є Python-аналогом потоку тексту в UNIX-конвеєрі?,Глобальна змінна,Декоратор,Клас exception,Ітератор або генератор,D
Для чого використовується readinto у потоковому читанні?,Для створення нового списку на кожному кроці,Для декодування JSON,Для читання безпосередньо в повторно використовуваний буфер,Для сортування байтів,C
"Що робить take(n, it) у лекції?",Бере перші n елементів потоку,Повторює потік n разів,Пропускає перші n елементів,Сортує n елементів,A
Який результат list(x**2 for x in range(5))?,[],"[1, 4, 9, 16, 25]","[0, 1, 4, 9, 16]","[0, 2, 4, 6, 8]",C
Навіщо використовується memoryview?,Щоб зробити дані незмінними назавжди,Щоб очистити пам’ять,Щоб працювати з буфером без зайвого копіювання,Щоб перетворити файл у зображення,C
Яка перевага генераторів щодо старту обчислень?,Вони працюють лише з файлами,Вони завжди чекають завершення всього набору,Вони можуть почати віддавати результати без очікування повного обчислення,Вони не запускаються до list(),C
