Question,A,B,C,D,Prav_vid
Якому Python-типу зазвичай відповідає JSON object?,set,dict,tuple,Path,B
Якому Python-типу зазвичай відповідає JSON array?,list,bytes,set,Path,A
Якому Python-значенню відповідає JSON null?,Порожній рядок,0,False завжди,None,D
Що робить json.dumps()?,Створює pickle,Серіалізує Python-структуру у рядок JSON,Десеріалізує файл,Записує тільки у файл,B
Що робить json.loads()?,Читає CSV,Десеріалізує JSON-рядок у Python-структуру,Створює YAML,Записує JSON у файл,B
Чим json.dump() відрізняється від dumps()?,"dump() працює безпосередньо з файловим об'єктом, dumps() повертає str",dumps() працює лише з bytes,"dump() читає, dumps() записує",Різниці немає,A
Чим json.load() відрізняється від loads()?,load() серіалізує,"load() читає з файлового об'єкта, loads() приймає JSON-рядок",loads() працює лише з CSV,load() створює Path,B
Для чого ensure_ascii=False у json.dumps/json.dump?,Щоб заборонити Unicode,Щоб JSON став binary,Щоб автоматично валідовувати дані,Щоб Unicode-символи зберігалися у читабельному вигляді,D
Для чого параметр indent у JSON-серіалізації?,Для binary-кодування,Для шифрування,Для валідації діапазонів,Для читабельного форматування з відступами,D
Які об'єкти JSON не вміє серіалізувати автоматично за лекцією?,int і float,"Наприклад datetime, Decimal, set, Path і dataclass",str і bool,dict і list,B
Як у лекції пропонується серіалізувати datetime у простому випадку?,Через csv.writer,Перетворити на ISO-рядок через isoformat(),Через Path.stem,Завжди pickle.dumps,B
Для чого dataclasses.asdict()?,Для binary-серіалізації,Для створення CSV header,Для перетворення dict на dataclass автоматично,Для перетворення dataclass на словник,D
Для чого можна створити власний JSONEncoder?,Для повторюваної логіки перетворення нестандартних об'єктів у JSON-сумісне представлення,Для читання CSV,Для перевірки Path.exists,Для chunking,A
"Що має зробити custom JSONEncoder.default для невідомого типу, якщо сам його не обробляє?",Перетворити все на int,Видалити об'єкт,Завжди повернути None,Передати обробку super().default(obj),D
Чи гарантує json.load бізнес-коректність даних?,"Так, повністю",Ні,Лише для чисел,Тільки якщо є indent,B
Що слід перевіряти після JSON-десеріалізації?,Тільки довжину файла,Тільки encoding,Лише ім'я файла,"Обов'язкові поля, типи, діапазони та версію формату",D
Що таке серіалізація?,Перетворення стану або структури даних у представлення для зберігання чи передавання,Пошук шляхів,Тільки стиснення даних,Видалення файла,A
Що таке десеріалізація?,Видалення JSON,Зворотне відновлення структури даних із серіалізованого представлення,Запис CSV,Створення каталогу,B
Які властивості важливі для формату серіалізації?,Тільки кількість каталогів,Лише ім'я файла,"Сумісність версій, безпека, переносимість і читабельність",Тільки розмір шрифту,C
Що таке pickle?,CSV-діалект,Path-операція,Стандартний YAML loader,Python-механізм серіалізації багатьох об'єктів у binary-представлення,D
Для яких даних pickle названо зручним?,Тільки для YAML,Лише для тексту UTF-8,Для довірених внутрішніх даних,Для будь-яких недовірених файлів з Інтернету,C
Чому pickle.load небезпечний для недовірених даних?,Десеріалізація може виконати небезпечні дії,Він працює тільки з ASCII,Він завжди видаляє файл,Він не підтримує dict,A
Який режим файла використано для pickle.dump у лекції?,rt,w,wb,r,C
Який режим файла використано для pickle.load у лекції?,a,wt,r,rb,D
Навіщо довгоживучому формату schema_version?,Щоб автоматично створювати backup,Щоб файл став binary,Щоб підтримувати явне версіонування схеми та міграції,Щоб уникнути валідації,C
Що може робити програма при читанні різних schema_version?,Перетворювати все на CSV,Вибирати відповідний parser або виконувати міграцію,Ігнорувати версію завжди,Видаляти старі файли автоматично,B
Що таке атомарний запис у контексті лекції?,Завжди append,Запис у тимчасовий файл з подальшою заміною цільового,Зберігання тільки в RAM,Запис по одному символу,B
Навіщо використовувати атомарну стратегію для важливої конфігурації?,Щоб приховати помилки,Щоб збільшити використання RAM,Щоб зменшити ризик пошкодження файла при аварії під час запису,Щоб уникнути JSON,C
Який головний принцип обробки великих файлів?,"Не завантажувати весь набір у пам'ять, якщо достатньо послідовного проходу",Завжди використовувати pickle,Завжди використовувати read(),Завжди створювати list,A
Які підходи рекомендуються для великих файлів?,"Ітерація, генератори, chunking і streaming",Лише pickle.load,Тільки Path.read_text,Тільки readlines(),A
Як потоково обчислити середнє з великого текстового файла?,Спочатку обов'язково створити list усіх значень,Перетворити файл на pickle,Завантажити все через read_bytes,Накопичувати count і total за один прохід,D
Яка перевага генератора з yield над materialization усіх записів?,Він зберігає всі дані двічі,Він завжди швидший у будь-якій задачі,Можна будувати reusable pipeline з меншим використанням пам'яті,Він працює лише з CSV,C
Як у лекції фільтрують великий log-файл?,Через read() обов'язково,Через YAML,Через pickle,Построково читають source і одразу записують потрібні рядки в target,D
Що таке chunking?,Розбиття імені файла,Обробка даних блоками певного розміру,Перетворення CSV у dict,Сортування JSON-ключів,B
Навіщо підбирати розмір chunk?,Щоб змінити encoding,Щоб балансувати I/O overhead і використання RAM,Щоб створити schema_version,Щоб уникнути with,B
Що відбувається при надто малому chunk?,Зростає overhead через більшу кількість I/O-викликів,Файл стає JSON,Завжди закінчується RAM,Зникає encoding,A
Що може статися при надто великому chunk?,Завжди зменшується I/O до нуля,Файл стає text,Зростає використання RAM,Зникають exceptions,C
Для чого потрібні конфігураційні файли?,Щоб зберігати лише CSV,Щоб відокремити параметри середовища від коду,Щоб зберігати тільки паролі,Щоб замінити Python-код,B
Які параметри можуть бути в конфігурації за лекцією?,Тільки назви класів,"Адреси сервісів, режими, thresholds і paths",Лише traceback,Тільки Python bytecode,B
Що слід робити після завантаження JSON-конфігурації?,Перетворювати на pickle,Безумовно довіряти всім полям,Видаляти файл,Валідовувати її і перетворювати у структурований об'єкт,D
Для чого стандартний модуль configparser?,Для JSON API,Для роботи з INI-подібними конфігураціями,Для binary chunking,Для pickle,B
Який метод configparser читає ціле поле?,parseint(),readint(),as_int(),getint(),D
Для чого environment variables зручні в конфігурації?,Для зберігання великих CSV,Для заміни pathlib,Для серіалізації dataclass,"Для параметрів, що відрізняються між deployment-середовищами",D
Де зазвичай безпечніше передавати секрети?,У назві файла,"Через захищені механізми середовища або secret manager, а не committed config",У CSV header,У відкритому config у Git,B
Який приклад precedence конфігурації наведено в лекції?,defaults → config file → environment variables → CLI arguments,CLI → defaults → source code → pickle,environment → defaults → JSON → Python,Порядок не має значення,A
Навіщо явно визначати precedence конфігурації?,Щоб збільшити RAM,Щоб уникнути валідації,Щоб поведінка застосунку була передбачуваною,Щоб вимкнути environment variables,C
Що таке YAML?,"Людиночитний формат структурованих даних, популярний у конфігураціях",Binary-формат pickle,Модуль стандартної бібліотеки,CSV-діалект,A
Які структури підтримує YAML за лекцією?,"Mappings, sequences, scalars і вкладені структури",Тільки рядки,Тільки плоскі таблиці,Лише binary bytes,A
Чи входить YAML до стандартної бібліотеки Python?,Ні,Лише у Windows,"Так, модуль yaml завжди вбудований",Тільки починаючи з Python 3.12,A
Який loader PyYAML показано для читання YAML?,json.load,yaml.safe_load,yaml.unsafe_load обов'язково,pickle.load,B
Чому для недовіреного YAML потрібен safe loader?,Бо YAML не підтримує Unicode,Бо без нього неможливі списки,Бо safe loader робить файл binary,Через безпекові ризики небезпечної десеріалізації,D
