Question,A,B,C,D,Prav_vid
Які objects можуть бути проблемними для передачі child process?,Прості strings завжди,"Локальні closures, open sockets та інші непереносні objects",Serializable dict завжди,Звичайні integers завжди,B
Для чого multiprocessing.Queue?,Для захисту GIL,Для створення Future,Для thread-local data,Для передачі serializable objects між processes,D
Що таке multiprocessing Pipe?,"Канал між processes, який може бути двостороннім або одностороннім",Thread lock,CPU cache,Executor,A
Чому Queue часто простіша за Pipe для producer-consumer?,Pipe працює лише з threads,Queue не використовує IPC,Pipe не може передавати дані,Вона краще відповідає багатьом producer-consumer сценаріям,D
Що дає multiprocessing shared memory?,Повністю усуває synchronization,Може зменшити копіювання великих даних,Автоматично робить всі objects immutable,Вимикає IPC,B
Який недолік shared memory?,Не дозволяє зберігати дані,Працює тільки з HTTP,Завжди повільніша за disk,Повертає проблему synchronization і потребує lifecycle management,D
Коли multiprocessing.Lock може бути потрібний?,Коли processes справді працюють зі shared resource,Для Future.result,Для ThreadPoolExecutor,Для кожної локальної змінної,A
Чому process pool зручніший за process-per-item для багатьох однотипних CPU jobs?,Не має startup overhead взагалі,Повторно використовує набір worker processes і розподіляє jobs,Створює новий process для кожного рядка,Виконує все в main process,B
Для чого multiprocessing.Pool?,Для logging only,Для async event loop,Для керування набором worker processes і розподілу функцій,Для thread synchronization,C
Що робить Pool.map?,Не повертає результатів,Створює Future для кожного item,Завжди в порядку завершення,Повертає результати в порядку input,D
Чим imap корисний порівняно з map?,Не виконує функцію,Працює тільки з одним argument,Може дозволяти поступову обробку результатів,Завжди створює threads,C
Для чого Pool.starmap?,Для функцій із кількома аргументами,Для HTTP timeout,Для synchronization locks,Для daemon threads,A
Що таке chunksize?,Число threads у process,Кількість CPU cores,"Кількість jobs, згрупованих для передачі worker-у",Розмір Lock,C
Чому chunksize впливає на performance?,Він вимикає serialization,Він визначає GIL,Chunksize впливає лише на logging,"Надто дрібна передача створює IPC overhead, а grouping може його зменшити",D
Що надає concurrent.futures?,Async HTTP server,Тільки низькорівневі locks,Єдиний високорівневий API Executor/Future для threads і processes,Лише multiprocessing.Queue,C
Що таке Future?,Shared memory segment,"Об'єкт, що представляє результат, який може ще не бути готовим",Thread name,Process start method,B
Що можна робити через Future?,Створити CPU core,"Отримати result/exception, перевірити completion або скасувати pending operation",Успадкувати address space,Змінити GIL,B
Для чого ThreadPoolExecutor?,Для shared_memory,Для pure Python CPU-bound як основний вибір,"Для керування пулом threads, особливо для blocking I/O",Для створення process start method,C
Що робить Executor.submit()?,Передає одну функцію на виконання і негайно повертає Future,Створює Queue,Блокує до завершення всіх jobs,Повертає Process object,A
Що робить Executor.map()?,Виконує однорідні jobs і повертає результати в input order,Завжди обробляє у completion order,Створює daemon threads,Повертає тільки exceptions,A
Для чого concurrent.futures.as_completed()?,Для збереження input order,Для блокування GIL,Для створення shared memory,Для обробки Futures у порядку фактичного завершення,D
Для чого ProcessPoolExecutor?,Для thread-local state,Для blocking I/O тільки,Для високорівневого виконання незалежних CPU-bound functions у worker processes,Для asyncio Tasks,C
Коли ThreadPoolExecutor зазвичай кращий за ProcessPoolExecutor?,Для pure Python CPU-heavy jobs завжди,Для уникнення GIL у CPU loops,Для максимальної process isolation,"Для blocking I/O та випадків, де shared memory є перевагою",D
Коли ProcessPoolExecutor зазвичай доречніший?,Для одного короткого print,Для CPU-heavy pure Python functions із прийнятною serialization cost,Для network I/O з async client,Для shared mutable globals без IPC,B
Як exception з worker передається через Future?,Автоматично ігнорується,Повторно піднімається під час future.result(),Перетворюється на warning без доступу caller-а,Завжди стає None,B
Що робить future.result(timeout=...)?,Обмежує час очікування caller-а на результат,Змінює worker count,Гарантовано зупиняє running operation,Вимикає exception propagation,A
"Чи означає timeout future.result(), що running operation автоматично зупинилася?","Так, завжди",Тільки для ThreadPool,"Ні, не обов'язково",Тільки для ProcessPool,C
Коли Future.cancel() може успішно скасувати job?,Лише після shutdown,Якщо job ще не почала виконуватися,"Завжди, навіть running thread",Тільки після future.result,B
Чи можна через Future API безпечно примусово зупинити running thread?,"Так, через as_completed",Ні,"Так, через result(timeout)","Так, через cancel завжди",B
Чому Executor зручно використовувати як context manager?,Він вимикає serialization,Він автоматично робить jobs CPU-bound,Він усуває всі exceptions,Він забезпечує контрольований shutdown,D
Які витрати має parallel execution?,Паралельність не має overhead,"Worker startup, context switching, synchronization, serialization, IPC, cache effects і memory",Лише network latency,Тільки вартість print,B
Чому маленька задача може бути швидшою послідовно?,Sequential завжди використовує більше processes,GIL забороняє sequential code,Через Queue,Overhead паралелізації може перевищити виграш,D
Що описує закон Амдала?,Кількість locks у thread,HTTP timeout,Розмір Queue,Максимальне прискорення обмежене послідовною частиною програми,D
Що таке task granularity?,Тип GIL,Обсяг роботи в одному job,Число exception types,Кількість логічних CPU,B
Який ризик надто дрібних jobs?,Велика частка часу витрачається на scheduling та IPC,Вони завжди краще балансують без overhead,Вони вимикають serialization,Вони не можуть виконуватися в pool,A
Який ризик надто великих jobs?,Відсутність CPU usage,Неможливість повернути result,Можливе погане load balancing,Завжди deadlock,C
Що таке load balancing?,"Розподіл роботи так, щоб workers не простоювали через нерівну тривалість jobs",Захист shared state,Thread naming,Process serialization,A
Від чого залежить оптимальна кількість workers?,"Від workload, CPU, memory bandwidth, libraries і resource limits",Завжди дорівнює 100,Лише від кількості files,Тільки від Python version,A
Для чого os.cpu_count()?,Щоб отримати орієнтовну кількість логічних CPU,Щоб вимкнути GIL,Щоб створити саме стільки processes автоматично,Щоб виміряти elapsed time,A
Який інструмент лекція рекомендує для вимірювання elapsed time?,threading.current_thread(),time.perf_counter(),time.sleep(),os.cpu_count(),B
Чому одноразовий benchmark може бути нерепрезентативним?,Benchmark завжди детермінований,Cache ніколи не впливає,Process startup не впливає на час,"На нього впливають warm-up, caches, background load, startup і variance",D
