Question,A,B,C,D,Prav_vid
Що є хвостово-рекурсивним алгоритмом у лекції?,Наївний Fibonacci,inorder з двома рекурсіями,Quicksort у стандартній формі,Алгоритм Евкліда для НСД,D
Які два структурні випадки має список у шаблоні лекції?,Лише перший і останній елемент,Порожній список і head::tail,Парний і непарний список,Зростаючий і спадний список,B
Що таке postorder-обхід дерева?,Ліве піддерево → праве піддерево → вузол,Ліве → вузол → праве,Вузол → ліве → праве,Праве → ліве → вузол завжди,A
Що повертає sum_list([]) у лекції?,0,None,[],1,A
Який порядок обходу реалізує inorder?,Ліве піддерево → вузол → праве піддерево,Праве → вузол → ліве,Ліве → праве → вузол,Вузол → ліве → праве,A
"Яка базова умова в рекурсивному gcd(a,b)?",a == 0 завжди,a < b,b == 0,a == b == 1,C
Який із виразів є хвостово-рекурсивним?,return x * f(x - 1),return 1 + f(x - 1),"return f(x - 1, acc + x)",return g(f(x)),C
Яка мнемоніка наведена для структурної рекурсії?,"Спочатку кеш, потім рекурсія",Чим більше циклів — тим краще,Усі задачі зводяться до сортування,Як дані зібрані — так і розбираємо,D
Яка типова помилка виникає при кешуванні функції з list-аргументом?,ZeroDivisionError,RecursionError,ImportError,TypeError: unhashable type: 'list',D
Чи має Python Tail Call Optimization?,Ні,Лише для списків,"Так, завжди",Лише з lru_cache,A
Який загальний висновок лекції про рекурсію?,Вона не потребує базового випадку,"Вона декларативна й природна для структур, але в Python треба зважати на стек",Вона завжди швидша за ітерацію,Вона автоматично мемоізується,B
Для яких задач мемоізація найбільш корисна?,Для функцій без повторних аргументів,Для недетермінованих функцій,Для мутабельних глобальних станів,Для задач з повторюваними підзадачами,D
Яка часова складність наївного рекурсивного Fibonacci?,O(log n),O(2^n),O(n),O(1),B
Що робить fib.cache_info()?,Вимикає кеш,Очищає кеш,Повертає останній Fibonacci,Показує статистику кешу,D
Що стається з параметрами tail-рекурсивної функції при перетворенні в цикл?,Вони стають декораторами,Вони стають змінними стану циклу,Вони стають глобальними,Вони видаляються,B
Чому ітерація часто ефективніша за рекурсію у Python?,Автоматично використовує GPU,Не створює нові фрейми на кожному кроці,Завжди має O(log n),Вона виконує мемоізацію,B
Що таке генеративна рекурсія?,Рекурсія без базового випадку,"Рекурсія, де підзадачі формуються додатковими правилами, а не лише структурою",Рекурсія тільки по linked list,Будь-який generator,B
Що таке акумулятивна рекурсія?,Рекурсія з випадковими числами,"Рекурсія з параметром, що накопичує проміжний результат",Рекурсія без аргументів,Рекурсія лише для дерев,B
Що таке рекурсія?,Кешування значень,Виклик функції лише один раз,Будь-який цикл for,Визначення функції через саму себе,D
Для чого використовується acc у хвостовій рекурсії?,Для визначення глибини дерева,Для зберігання глобального стану,Для перенесення проміжного результату в наступний виклик,Для обмеження кешу,C
Який приклад загального кешування наведено в лекції?,RecursionError,match/case,foldr,Redis або CDN,D
Чому глибока рекурсія небезпечна в Python?,Вона не може повертати значення,Python автоматично переходить у BFS,Вона завжди змінює глобальний стан,Можливий RecursionError через обмеження стеку,D
Яка складність Fibonacci з мемоізацією?,O(log n),O(n),O(n²),O(2^n),B
Яка основна мотивація перетворення рекурсії в ітерацію?,Обов’язкове використання ООП,Використання тільки immutable tuple,Збільшення кількості фреймів,Уникнення переповнення стеку та зайвих витрат пам’яті,D
З якого модуля імпортується lru_cache?,functools,typing,dataclasses,itertools,A
Що потрібно для ітеративного обходу бінарного дерева inorder?,lru_cache,Глобальний total,Union,Явний стек,D
Що таке top-down dynamic programming?,Рекурсія з мемоізацією,Ітераційне заповнення таблиці знизу вгору,Лише сортування,BFS без кешу,A
Чим можна замінити list для використання як аргумент кешованої функції?,dict,list.copy(),tuple,set,C
Яка складність Fibonacci без кешу наведена в лекції?,O(n log n),O(2^n),O(1),O(n),B
Чому Python навмисно не виконує TCO?,Через lru_cache,Через відсутність циклів,Щоб не приховувати стек викликів під час дебагінгу,Тому що Python не підтримує функції,C
Як обчислюється size непорожнього вузла?,"max(size(left), size(right))",1 + size(left) + size(right),size(left) * size(right),1 + value,B
Що таке miss у cache_info()?,"Звернення, результат якого ще треба обчислити",Успішний hit,Порожній список,Видалений ключ,A
Чому inorder_tail у лекції лише частково хвостовий?,Бо він не має базового випадку,Через дві рекурсії повна TCO неможлива,Бо він працює тільки з list,Бо немає acc,B
Який загальний висновок про мемоізацію?,Вона замінює всі цикли,Вона усуває повторні обчислення через кешування результатів,Вона потрібна лише для factorial,Вона робить будь-яку функцію детермінованою,B
"Яка складність paths(n,m) з мемоізацією?",O(1),O(n+m) завжди,O(n*m),O(2^(n+m)),C
Чому мемоізація добре поєднується з чистими функціями?,Однакові аргументи дають однаковий результат,Вони завжди асинхронні,Чисті функції не приймають аргументів,Чисті функції завжди мають глобальний cache,A
Чому не рекомендується мемоізувати недетерміновану функцію?,lru_cache не підтримує int,Вона не має аргументів,Кеш може повертати застарілі або неправильні результати,Вона завжди викликає RecursionError,C
Який стандартний декоратор Python використовується для мемоізації?,@lru_cache,@staticmethod,@property,@dataclass,A
Яка основна перевага tail-style навіть без TCO у Python?,Він завжди швидший за ітерацію,Його легко механічно переписати в цикл,Він автоматично кешується,Він не використовує стек,B
Що робить fact_iter?,Обчислює Fibonacci,Обчислює факторіал через цикл і акумулятор,Кешує факторіал,Будує дерево,B
"Що станеться, якщо рекурсія не має умови зупинки?",Функція поверне None без помилки,Увімкнеться TCO,Може виникнути RecursionError,Python автоматично завершить цикл,C
Який підхід запропонований для ефективнішого inorder?,Використання eval,Генератор із yield from,Вкладені lambda,Глобальний список без контролю,B
Яка головна тема лекції 4?,Типи та алгебраїчне моделювання,"Рекурсія, хвостова рекурсія та мемоізація",Композиція функцій,Асинхронне програмування,B
"Як перетворюється хвостова форма f(step(x), combine(acc,x)) у цикл?",Через random,Через рекурсію з більшим стеком,Через два вкладені for,Через оновлення acc і x усередині while,D
Що таке bottom-up dynamic programming?,Мемоізація через lru_cache обов’язково,Використання глобального стеку,Ітераційне заповнення проміжних станів,Рекурсія без кешу,C
Який загальний висновок про хвостову рекурсію?,Вона не використовує акумулятор,"Вона легко перетворюється в цикл, але Python не оптимізує її стек",Вона завжди працює за O(1) пам’яті в Python,Вона потрібна тільки для Fibonacci,B
Яка пам’ять стеку для сильно незбалансованого дерева?,O(n),O(n²),O(log n),O(1),A
"Що є nil у foldr(cons, nil, xs)?",Перший елемент xs,Ключ кешу,Останній елемент xs,Результат для порожнього списку,D
Що таке мемоізація?,Сортування списків,Видалення повторів у масиві,Заміна рекурсії на цикл,Кешування результатів попередніх викликів функції,D
Що означає @lru_cache(maxsize=None)?,Кеш на один елемент,Вимкнений кеш,Необмежений кеш,Кеш тільки для None,C
"Що відбувається з елементом h, якщо pred(h) істинний?",Він додається до результату,Він перетворюється на індекс,Він завжди видаляється,Він стає None,A
Як доводять завершуваність структурної рекурсії?,Через TCO,Через випадковий тест,Через зменшення структури та структурну індукцію,Через глобальний лічильник,C
Що відбувається при повторному виклику функції з тими ж аргументами при lru_cache?,Аргументи змінюються,Кеш автоматично очищається,Повертається збережений результат без повторного обчислення,Функція обчислюється двічі,C
Що таке хвостова рекурсія?,Будь-яка подвійна рекурсія,"Рекурсія, що починається з останнього елемента","Рекурсія, де рекурсивний виклик є останньою дією",Рекурсія тільки для рядків,C
