Question,A,B,C,D,Prav_vid
Який другий основний закон композиції перевіряється в лекції?,Ідемпотентність усіх функцій,Асоціативність,Комутативність,Антисиметричність,B
Який контейнер рекомендовано для простого накопичення значень за ключем?,frozenset лише,defaultdict(int),tuple,bytes,B
Які вбудовані агрегатори рекомендуються перед reduce?,"open, print, input, exec","strip, lower, upper, split","map, zip, enumerate, range","sum, any, all, max, min",D
Для яких функцій lru_cache найбільш доречний у лекції?,"Для функцій, залежних від поточного часу",Для функцій із постійними side-effects,Для випадкових функцій,Для чистих дорогих функцій зі стабільним результатом,D
Яка мантра лекції?,Уникай композиції функцій,Кожну функцію заміни класом,Завжди використовуй глобальні змінні,"Передай функцію туди, де ти раніше передавав цикл",D
Що означає антипатерн «reduce для всього»?,Використання filter для фільтрації,Повна відмова від reduce,Використання sum для суми,Заміна зрозумілих операцій складними reduce-ланцюгами,D
Яка основна ціль лекції 2?,Працювати лише з класами,Будувати пайплайни без проміжних змінних,Навчитися створювати GUI,Освоїти SQL,B
Який модуль надає функціональні еквіваленти операторів?,operator,typing_extensions,json,csv,A
Скільки балів дається за тести unit + property?,8,6,2,4,B
Що обрати для агрегації насамперед?,methodcaller,juxt,complement,sum/any/all/max/min,D
Яка бібліотека використовується для property-тестів у прикладі?,NumPy,Hypothesis,Flask,Requests,B
"Що робить take(n, xs)?",Сортує n елементів,Повторює список n разів,Видаляє перші n елементів,Бере перші n елементів,D
Що робить functools.partial?,Згортає список,Фіксує частину аргументів і повертає нову функцію,Фільтрує дані,Кешує результат функції,B
Скільки балів дається за документацію та приклади?,4,1,6,10,A
"Яку роль виконує key=fn у sorted(xs, key=fn)?",Визначає початкове значення reduce,Видаляє дублікати,Задає функцію ключа впорядкування,Змінює тип елементів,C
Для якої задачі juxt особливо зручний?,Отримання кількох паралельних ознак з одного входу,Мережеві запити,Створення випадкових чисел,Запис файлів,A
Що робить pluck(key) у прикладі?,"Повертає функцію, яка дістає значення ключа зі словника",Видаляє ключ,Додає ключ у словник,Сортує словник,A
Що робить reduce?,Згортає послідовність в одне значення бінарною функцією,Завжди повертає генератор,Фільтрує послідовність,Сортує словник,A
Що рекомендовано для побудови індексу ключ → список елементів?,lru_cache(maxsize=1),reduce з dict.update у lambda,defaultdict(list),datetime,C
Скільки балів дається за повноту набору комбінаторів?,6,2,10,4,A
Як нормалізується status ' OK '?,OK ,True,ok,1,C
Яке покриття unit-тестами вимагається для модуля домашнього завдання?,Не менше 10%,Рівно 50%,Не менше 90%,Покриття не потрібне,C
Що краще використати для плоского списку без дублікатів у наведеному прикладі?,Тільки sorted,lru_cache,Явний цикл із seen та chain.from_iterable,Складний reduce з кортежами,C
Що робить any_pass(*preds)?,Завжди повертає False,"Перевіряє, що хоча б один предикат істинний",Вимагає істинності всіх предикатів,Сортує предикати,B
Який головний підсумок лекції щодо HOF і комбінаторів?,Вони дозволяють описувати дані як потік без проміжних змінних,Вони замінюють систему типів,Вони роблять усі функції нечистими,Вони потрібні лише для GUI,A
Що обрати для паралельних ознак від одного входу?,reduce,drop,juxt,lru_cache,C
Яка функція operator дістає елемент за ключем?,attrgetter,partial,itemgetter,methodcaller,C
"Що, за підсумком лекції, відрізняє хороший FP-код від «FP заради FP»?",Максимальна кількість lambda,Повна відмова від імен функцій,Найдовший можливий compose,Баланс між лаконічністю та прозорістю,D
Який результат домашнього завдання?,Веб-сайт,Один монолітний main.py без тестів,База даних SQLite,"Пакет fp_lists з pytest, hypothesis і документацією",D
Який тип має поле age у міні-проєкті?,float лише,bytes,Callable,Optional[int],D
Яка мета міні-проєкту на парі?,Створити веб-сервер,Побудувати конвеєр нормалізації користувачів без проміжних змінних,Написати SQL СУБД,Реалізувати графічний редактор,B
Що повертає itertools.accumulate?,Завжди словник,Лише фінальне значення,Булеве значення,Послідовність проміжних накопичених станів/значень,D
Для якого нормалізатора пропонується демонстраційний lru_cache?,Для нормалізатора email,Для випадкового числа,Для print,Для поточного часу,A
