Question,A,B,C,D,Prav_vid
Навіщо додавати case _ у match?,Щоб вимкнути type hints,Для обробки неочікуваних варіантів,Щоб цикл повторився,Щоб створити dataclass,B
Яка перевірка рекомендована для Optional-значення?,type(value) == Optional,if value == True,len(value) > 0,is not None,D
"Як обробляються рядки, що починаються з # у конфігу?",Перетворюються на числа,Пропускаються як коментарі,Вважаються обов'язковими ключами,Викликають SyntaxError Python,B
Що робить slots=True у dataclass?,Вмикає багатопоточність,"Використовує __slots__, економить пам'ять і обмежує атрибути",Додає JSON-серіалізацію,Робить клас абстрактним,B
Що є перевагою match/case порівняно з довгим ланцюгом isinstance для ADT?,Явне структурне розгалуження і розпакування,Не потребує типів,Завжди швидше у 100 разів,Автоматично робить код асинхронним,A
Для яких залежностей у лекції радять Protocol?,Лише файли CSV,Тільки int і float,Тільки dataclass,"Годинник, RNG, transport",D
Що перевіряє test_parse_lines_missing_equal()?,Невірний діапазон порту,Синтаксичну помилку через відсутність =,JSON-серіалізацію,Рівність dataclass,B
У якій версії Python з'явився структурний match/case?,Python 4.0,Python 3.10,Python 2.7,Python 3.5,B
Які дефолти згадані у test_to_config_defaults()?,"host=localhost, port=8080, debug=false","host=127.0.0.1, port=22, debug=true","host=None, port=0, debug=None","host=google.com, port=80, debug=true",A
Який результат u1 == u2 для двох однакових frozen dataclass з однаковими полями?,TypeError,False,None,True,D
Що має відбутися з Err під час ланцюжка and_then?,Помилка поширюється без виклику наступних успішних кроків,Err автоматично стає Ok,Помилка ігнорується,Err перетворюється на None,A
Який приклад sum type відповідає Option?,"Tuple[T, None]",List[Optional[T]],"Union[Some[T], Nothing]","Callable[[T], None]",C
Який базовий формат запису конфігурації описано в лекції?,тільки JSON,<key>value</key>,ключ:значення:тип,ключ = значення,D
Для чого зручно використовувати Literal?,Для міні-enum з фіксованих значень,Для створення генераторів,Для файлового IO,Для динамічного імпорту,A
Які значення порту перевіряє тест меж у лекції?,-1 і 0,0 і 100,80 і 443 тільки,1 і 65535,D
Що означає композиційний виклик Result?,Складання двох чисел,Одночасний запуск усіх потоків,Послідовне поєднання безпечних перетворень через map/and_then,Створення вкладеної ООП-ієрархії,C
Як рекомендовано «оновлювати» frozen dataclass?,Змінювати __dict__,Викликати setattr безпосередньо,Використовувати del,Створювати новий екземпляр через dataclasses.replace,D
Яка перевага Option над довільним використанням None?,Option автоматично читає файли,Відсутність значення моделюється явним варіантом,Option завжди містить число,Option не потребує типізації,B
Чому frozen dataclass часто можна використовувати в set або як ключ dict?,Через slots=True незалежно від полів,Тому що set приймає будь-які змінні об'єкти,Тому що dict не використовує хеші,Він може бути хешованим за незмінних хешованих полів,D
"Чи змінює модифікація словника, поверненого asdict(), оригінальний dataclass?",Ні,Лише при frozen=False,"Так, завжди",Лише для int,A
Що визначає схема конфігурації?,"Дозволені ключі, обов'язковість, дефолти й валідатори",Тільки порядок рядків,Версію операційної системи,Колір тексту,A
Для чого потрібен and_then/flat_map у Result?,Для сортування Result,Для перетворення Result у list,Для копіювання файлів,"Для композиції функцій, що самі повертають Result",D
Яка помилка виникає при ключі prt замість port у прикладі?,Дубльований ключ,Відсутній знак =,Невідомий ключ,Помилка JSON,C
Що повинен повернути double(Some(7)) у прикладі лекції?,Err(14),Some(value=14),Nothing(),7,B
Що означає композиція алгебраїчних типів?,Створення глобального класу,Складання лише чисел,Компіляція типів у C,Поєднання product і sum типів для опису домену,D
Що містить Ok[T]?,Тільки текст помилки,Успішне значення,Список винятків,None,B
Який принцип бажаний у чистому ядрі за лекцією?,Ніяких неявних None/винятків — використовувати Option/Result,Усі функції мають повертати None,Не використовувати типи,Максимум глобальних винятків,A
Що містить Err[E]?,Явне значення помилки,Тільки bool,Функцію,Успішний результат,A
Що повинна містити дружня помилка парсера?,Причину та корисну підказку користувачу,Лише код 500,Тільки traceback,Випадкове повідомлення,A
Яка практична мета алгебраїчного моделювання за лекцією?,Зробити код готовим до зміни вимог без каскадних поломок,Повністю відмовитися від функцій,Зберігати всі дані у глобальних змінних,Замінити Python на C++,A
Як Protocol полегшує тестування?,Дозволяє підставляти прості реалізації залежностей без жорсткого наслідування,Автоматично генерує всі тести,Видаляє IO,Забороняє mock-об'єкти,A
Як у конфігу подається list[T] у прикладі?,Кожен елемент в окремому файлі,Через крапку з комою обов'язково,"Елементи, розділені комами",Тільки JSON-масивом,C
Що робить asdict()?,Серіалізує безпосередньо у JSON-файл,Перетворює dataclass у звичайний dict,Перетворює dict у dataclass,Заморожує об'єкт,B
Чим == відрізняється від is?,== працює лише з dataclass,Вони завжди еквівалентні,"is порівнює числа, == тільки рядки","== перевіряє рівність, is — ідентичність",D
Чому еквівалентний Optional[T]?,Literal[T],List[T],"Union[T, None]",Callable[T],C
Як asdict() поводиться з вкладеними dataclass?,Перетворює тільки перший рівень у рядок,Ігнорує їх,Рекурсивно перетворює їх у звичайні структури,Видаляє їх,C
Які булеві варіанти згадані як допустимі?,yes/no тільки,лише True і False з великої літери,true/false/yes/no/on/off/1/0,0/1 тільки,C
Що означає Nothing()?,Помилку типізації,Option не містить значення,Нульове число,Порожній рядок,B
Який підхід краще відповідає лекції для моделювання варіантів домену?,Невеликі dataclass + Union,Глибока ієрархія з багатьма setter,Глобальні словники без типів,eval рядків,A
Яка головна теза підсумку лекції?,Глибоке наслідування є основою надійності,Мутація стану спрощує всі програми,Типізація потрібна лише для документації,Незмінні дані + чисті функції + сильні типові контракти роблять код передбачуваним і тестованим,D
Який антипатерн прямо згаданий у лекції?,Мутувати поля моделей і ховати валідацію у сеттерах,Писати unit-тести,Типізувати публічні API,Використовувати frozen dataclass,A
Що перевіряє оператор is?,Структурну рівність значень,Ідентичність об'єктів,Типізацію функції,Хешованість,B
Що означає Some(value=7)?,Значення відсутнє,Option містить значення 7,Сталася помилка 7,Створено список із 7 елементів,B
Хто перевіряє точну відповідність сигнатурі Protocol?,json.dumps,Оператор is,Garbage collector,Статичний аналізатор типів,D
Яка перевага Result над винятками у чистому ядрі?,Помилка явно присутня в типі та потоці даних,Result вимикає всі винятки Python,Result ніколи не містить помилок,Result завжди коротший за будь-який код,A
Для чого використовується TypeVar?,Для створення глобальних змінних,Для створення узагальнених типів,Для перетворення типів у рядки,Для вимкнення перевірки типів,B
Що означає самодокументація типами?,Python автоматично створює README,Коментарі стають непотрібними завжди,Типи виступають специфікацією API,Документація генерується без коду,C
Що описує TypedDict?,Незмінний кортеж,Множину типів,Функцію з типізованими аргументами,Структуру словника з типізованими ключами,D
Яку проблему допомагає зменшити алгебраїчне моделювання?,Складність великих ООП-ієрархій і мутації,Нестачу модулів Python,Повільний диск,Відсутність мережевого доступу,A
Що означає структурне порівняння dataclass за замовчуванням?,Порівнюються тільки адреси в пам'яті,Порівнюється тільки ім'я класу,Об'єкти ніколи не рівні,Порівнюються значення полів,D
Які тести рекомендуються в домашньому завданні?,Тільки ручне тестування,Лише UI-тести,Юніт-тести та property-тести,Тільки benchmark,C
Що повертає render_result(Ok('done')) у прикладі?,err: done,ok: done,None,Some(done),B
Які інструменти згадані в лекції для статичної перевірки типів?,pytest і unittest,numpy і pandas,mypy і pyright,black і git,C
Що станеться при спробі змінити поле frozen dataclass?,Поле мовчки зміниться,Об'єкт буде видалено,Виникне помилка FrozenInstanceError,Python перезапуститься,C
Які інструменти якості коду згадані в завданні?,"mypy --strict, ruff, black","npm, webpack, babel","gcc, make, cmake","docker, kubectl, helm",A
Що дозволяє @runtime_checkable для Protocol?,Перетворювати Protocol у dataclass,Використовувати isinstance з поверхневою runtime-перевіркою,Автоматично виправляти сигнатури,Компілювати Protocol,B
Що означає підхід «типи = домени як дані»?,Кожен тип повинен наслідувати object,Предметну область описують через типи та структури даних,Типи використовують лише для документації,Усі дані мають бути int,B
Який приклад простої типізованої структури користувача наведено в лекції?,Generator з id та name,Thread з id та name,Socket з id та name,TypedDict з id та name,D
Якого атрибута зазвичай немає в об'єкта dataclass(slots=True)?,__dict__,__eq__,__repr__,__class__,A
Які основні варіанти має Result?,True і None,Pass і Break,Some і Nothing,Ok і Err,D
"Що таке Number = Union[int, float]?","Псевдонім типу, що допускає int або float",Нова змінна зі значенням 0,Клас-нащадок int,Функція перетворення,A
Яка ідея функціонального підходу щодо стану об'єктів?,Використовувати лише mutable list,"Не мутувати старий стан, а створювати нові значення",Змінювати глобальний стан,Зберігати всі поля у globals(),B
Яке призначення CLI-парсера конфігів у лекції?,Навчати нейромережу,Створювати графічний інтерфейс,Компілювати Python,"Прочитати текстові налаштування, перевірити їх і побудувати типізований Config",D
Що робить Literal у typing?,Перетворює значення на str,Забороняє анотації,Обмежує тип фіксованим набором значень,Створює текстовий файл,C
Що таке generic у типізації?,Спеціальний вид циклу,Тип винятку,Механізм наслідування,"Універсальний код, параметризований типом",D
Що повертає render_result(Err(404)) у прикладі?,err: 404,Nothing(),ok: 404,404.0,A
Що зазвичай робить map для Result?,Мутує глобальний стан,"Перетворює успішне значення, не чіпаючи Err",Завжди повертає None,Перетворює тільки Err,B
Яку проблему моделює Option[T]?,Помилку мережі,Числовий діапазон,Наявність або відсутність значення без неявного None,Список значень,C
