Question,A,B,C,D,Prav_vid
Чому нескінченний generator можливий?,Значення створюються за запитом,Він одразу створює нескінченний list,Python має нескінченну пам'ять,StopIteration вимкнений,A
Чому не можна безумовно робити list() від нескінченного generator?,list автоматично візьме лише 10 значень,Виникне ImportError,Матеріалізація не завершиться і споживатиме пам'ять,list не приймає generators,C
Що таке generator expression?,Контекстний менеджер,"Лінивий вираз у круглих дужках, подібний до comprehension",Список у квадратних дужках,Декоратор,B
Яка головна відмінність generator expression від list comprehension?,List comprehension є нескінченним,Generator expression видає елементи ліниво,Він завжди повертає tuple,Він не може містити for,B
Чому sum(x*x for x in range(...)) не потребує проміжного списку?,sum послідовно споживає generator expression,range повертає dict,Generator перетворюється на set,sum автоматично кешує мільйон значень,A
Що означає eager evaluation?,Використовується лише для файлів,Обчислення відкладається до запиту,Обчислення ніколи не виконується,Результат обчислюється одразу,D
Що означає lazy evaluation?,Дані обов'язково зберігаються у list,Усі результати створюються наперед,Обчислення відкладається до фактичної потреби,Програма завжди працює швидше,C
Яка типова пам'яттєва складність матеріалізованого eager-списку з n елементів?,Завжди O(n²),Часто O(n),Завжди O(1),O(log 0),B
Яка типова пам'яттєва перевага lazy pipeline?,Не використовує пам'ять взагалі,Завжди зберігає всі результати,Може працювати з пам'яттю близько O(1) відносно кількості елементів,Завжди потребує O(n²),C
Коли помилка в lazy pipeline може виникнути?,Під час фактичного споживання відповідного елемента,Лише при завершенні Python,Ніколи,Завжди під час визначення функції,A
Яка модель природно підходить для нескінченних потоків?,Lazy evaluation,list() без обмеження,Повна eager-матеріалізація,readlines(),A
Що робить yield from?,Завершує generator,Делегує видачу значень іншому iterable або generator,Створює thread,Перетворює iterator на dict,B
Для чого yield from використано у flatten?,Для сортування списків,Для кешування,Для обчислення довжини,Для рекурсивного делегування вкладеному generator,D
Що робить send(value) для призупиненого generator?,Передає значення всередину generator,Закриває generator,Матеріалізує його,Перезапускає generator,A
Що робить throw() у generator protocol?,Повертає list,Породжує виняток у точці призупинення,Ігнорує всі винятки,Створює файл,B
Що робить close() для generator?,Виконує yield нескінченно,Перетворює його на tuple,Завершує його через GeneratorExit,Запускає спочатку,C
Яке призначення itertools?,Надає ефективні будівельні блоки для лінивих ітераційних алгоритмів,Лише профілює пам'ять,Створює GUI,Лише читає CSV,A
Що створює itertools.count?,Кінцевий dict,Випадкові числа,Потенційно нескінченну арифметичну послідовність,Відсортований list,C
Що робить itertools.cycle?,Повертає лише перший елемент,Сортує джерело,Обчислює суму,Циклічно повторює елементи джерела,D
"Що робить itertools.repeat('Python', 3)?",Повторює програму тричі,Створює три списки,Видає 'Python' три рази,Створює нескінченний цикл незалежно від другого аргументу,C
Для чого використовується itertools.islice?,Для сортування iterator,Для slicing iterator без матеріалізації всієї послідовності,Для створення class,Для запису файлів,B
Чому islice особливо корисний для нескінченних потоків?,Завжди бере останні елементи,Автоматично завершує всі нескінченні функції,Дозволяє взяти обмежену частину потоку,Перетворює потік на файл,C
Що робить itertools.chain?,Видаляє дублікати,Створює великий об'єднаний list обов'язково,Послідовно проходить кілька джерел як один потік,Групує однакові елементи,C
Що робить chain.from_iterable(groups)?,Обчислює середнє,Послідовно об'єднує вкладені iterable в один потік,Створює permutations,Сортує кожну групу,B
Як працює takewhile?,Завжди бере останній елемент,Видає елементи до першого порушення умови,Пропускає перші n елементів,Фільтрує всі елементи незалежно від позиції,B
Чим takewhile відрізняється від filter?,"takewhile зупиняється при першому False, filter перевіряє весь потік",Нічим,takewhile завжди сортує,filter працює лише зі списками,A
Як працює dropwhile?,Завжди повертає порожній iterator,"Пропускає початкові елементи, поки умова істинна, потім видає решту","Видаляє всі елементи, що задовольняють умову в усьому потоці",Зберігає лише перший елемент,B
Що робить filterfalse?,"Видає елементи, для яких предикат є False",Зупиняється після першого False,Видає лише True,Перетворює значення на bool,A
Для чого використовується accumulate?,Для читання файлу повністю,Для створення класу,Для випадкового перемішування,"Для кумулятивних сум, добутків та інших потокових агрегатів",D
Що створює pairwise(values)?,Пари випадкових елементів,Сусідні пари елементів,Тільки парні числа,Усі можливі комбінації,B
Для чого pairwise зручний у часових рядах?,Для читання CSV,Для обчислення різниць і переходів між сусідніми значеннями,Для створення кешу,Для повного сортування,B
Яка ключова особливість itertools.groupby?,Групує послідовні елементи з однаковим ключем,Автоматично сортує дані,Глобально групує всі однакові ключі незалежно від порядку,Повертає dict завжди,A
Чому перед groupby дані часто сортують за тим самим ключем?,Щоб generator став повторно використовуваним,Щоб однакові ключі були суміжними,Щоб вимкнути lazy evaluation,Щоб уникнути StopIteration,B
"Що станеться, якщо ключ A з'являється в несортованих даних у двох місцях?",Виникне SyntaxError,groupby обов'язково об'єднає їх,Другий A буде видалено,groupby може створити дві окремі групи A,D
Що робить itertools.product?,Створює permutations без повторень,Лише множить числа,Обчислює cumulative product,Створює декартів добуток вхідних iterable,D
Що робить itertools.permutations?,Фільтрує дані,Генерує впорядковані перестановки елементів,Генерує лише невпорядковані набори,Групує сусідні елементи,B
Що робить itertools.combinations?,Створює нескінченний count,Генерує комбінації без урахування порядку,З'єднує файли,Генерує всі перестановки,B
Яка небезпека перетворення великого combinatorial iterator у list?,Виникне StopIteration до початку,Комбінації зникнуть,List автоматично обмежиться 100 елементами,Можна вичерпати пам'ять через величезну кількість результатів,D
Для чого використовується itertools.tee?,Для створення логічно незалежних iterator з одного джерела,Для об'єднання iterator,Для сортування,Для завершення generator,A
Чому tee може споживати додаткову пам'ять?,Він копіює Python interpreter,Він створює процеси,Він завжди матеріалізує весь потік одразу,"Він буферизує значення, якщо споживачі рухаються з різною швидкістю",D
Що демонструє tee щодо lazy evaluation?,Lazy завжди означає нуль пам'яті,Lazy не означає автоматично відсутність використання пам'яті,tee є eager-функцією,Iterator завжди повторно використовуваний,B
Як пам'яттєво ефективно читати великий текстовий файл?,Завжди викликати readlines(),Завантажити весь файл у один рядок,Спочатку перетворити файл на list,Ітеруватися по файловому об'єкту рядок за рядком,D
Чому readlines() може бути небажаним для десятків гігабайтів?,Він матеріалізує всі рядки у пам'яті,Він автоматично видаляє файл,Він працює тільки з binary-файлами,Він читає лише один рядок,A
Що робить генератор read_numbers(path) з порожніми рядками?,Завершує generator,Пропускає їх,Повертає 0 для кожного,Породжує StopIteration негайно,B
Як read_numbers обробляє некоректне число?,Ігнорує всі рядки після помилки,Перетворює текст на 0 без перевірки,Перехоплює ValueError і повідомляє номер рядка,Завжди завершує всю програму,C
Як обчислити середнє потоково без збереження всіх чисел?,Використовувати permutations,Використовувати tee без агрегатів,Завжди зберігати повний list,Підтримувати суму та кількість,D
Чому csv.DictReader придатний для потокової обробки?,Він не підтримує iteration,Він працює лише з JSON,Він ітерується по рядках,Він завжди читає весь CSV у dict,C
Що може додати generator-обгортка над csv.DictReader?,"Валідацію, перетворення типів або фільтрацію",Автоматичне шифрування,Тільки multiprocessing,Лише новий GIL,A
Що таке lazy pipeline?,"Файл, прочитаний через readlines()",Один великий list,"Композиція етапів, які обробляють елементи за запитом без повної матеріалізації",Лише цикл while,C
Які етапи має приклад pipeline read -> clean -> parse -> positive?,Тільки кешування,Тільки запис у файл,Лише сортування,"Джерело, очищення, парсинг і фільтрацію",D
Коли елемент проходить через lazy pipeline?,Під час import модуля,Усі елементи проходять одразу під час створення pipeline,Коли кінцевий споживач запитує наступне значення,Лише після завершення програми,C
Що повертає stream_statistics для потоку?,Усі permutations,"count, mean, min і max",Повний відсортований list,Точну медіану обов'язково,B
"Чи потрібно зберігати всі значення для count, sum, min, max і mean?",Лише для count,"Ні, їх можна обчислювати потоково",Лише для min,"Так, завжди",B
Чому точна медіана складніша для потокової обробки?,Вона не залежить від даних,Медіану неможливо обчислити в Python,Може вимагати збереження значної частини даних або спеціальних алгоритмів,Вона завжди дорівнює mean,C
Що таке batching?,Обробка потоку блоками обмеженого розміру,Виконання лише першого елемента,Повна матеріалізація всіх даних,Сортування всього потоку,A
Який засіб використано у batched_custom для формування пакета?,islice,cycle,permutations,groupby,A
Коли batched_custom завершує роботу?,Після першого batch завжди,Коли batch має рівно size елементів,Після StopIteration у зовнішньому for без перевірки,Коли сформований batch порожній,D
Де batching є типовим підходом?,Лише в decorators,Лише у GUI,"У базах даних, API, ML та файловому I/O",Тільки в арифметиці,C
"Що рекомендує лекція, якщо версія Python підтримує itertools.batched?",Завжди писати власну,Перетворювати все на list,Не використовувати batching,Використовувати стандартну реалізацію замість власної,D
Що показує sys.getsizeof у прикладі list проти generator?,Точний розмір усієї програми,"Безпосередній розмір об'єкта, а не повну транзитивну пам'ять",Час виконання,Лише кількість елементів,B
Чому generator зазвичай має малий безпосередній розмір?,Він стискає всі елементи у ZIP,"Зберігає переважно стан обчислення, а не всі елементи",Він використовує диск замість пам'яті автоматично,Він не має стану,B
"Чи означає швидке створення generator, що його повне споживання завжди швидше за list?",Ні,"Так, якщо є yield","Так, завжди","Так, незалежно від задачі",A
Яка важлива перевага generator крім пам'яті?,Гарантоване прискорення будь-якої програми,Автоматична паралельність,Менший час до першого результату та можливість ранньої зупинки,Автоматичне кешування,C
Для чого в лекції використовується timeit?,Для створення iterator,Для порівняння часу виконання list comprehension і generator expression,Для вимірювання лише пам'яті,Для читання CSV,B
Який висновок щодо швидкості generator підкреслено?,Час не має значення,"Generator не обов'язково швидший, тому час треба вимірювати",List завжди швидший,Generator завжди швидший,B
Для чого використовується tracemalloc?,Для створення generators,Для мережевого трасування,Для сортування,Для аналізу виділень і пікового використання пам'яті Python,D
Що означає peak у tracemalloc.get_traced_memory()?,Кількість iterator,Піковий обсяг відстежуваної пам'яті,Кількість рядків файла,Час першого yield,B
Що таке early termination?,Автоматичний restart generator,Повна матеріалізація перед пошуком,Виконання всіх елементів двічі,Припинення обчислень після отримання достатнього результату,D
Чому find_first_large з generator може зекономити роботу?,Generator уже обчислив усе наперед,Він видаляє threshold,Він використовує cache,Після першого знайденого значення наступні елементи не обчислюються,D
Коли any() припиняє споживання?,Лише після всіх елементів,На першому True,Після 100 елементів,На першому False,B
Коли all() припиняє споживання?,На першому False,На першому True,Лише після list(),Ніколи,A
Що відбудеться при другому sum(g) після повного першого sum(g)?,Виникне SyntaxError,Повернеться попередня сума з кешу,Зазвичай буде 0 для числового вичерпаного generator,Generator автоматично повториться,C
Що робить list(generator) з великим потоком?,Матеріалізує його і може знищити пам'яттєву перевагу,Робить generator ще лінивішим,Перетворює його на нескінченний iterator,Завжди бере один елемент,A
Чому list(count()) небезпечний?,"count() нескінченний, тому матеріалізація не завершиться",count() не є iterable,count() завжди породжує ValueError,list не підтримує числа,A
"Коли ValueError виникне у parse(['1','2','bad'])?",Коли споживач запросить елемент 'bad',Під час визначення parse,Одразу при створенні generator,Ніколи,A
Який ресурс може утримувати напівспожитий generator?,Тільки модуль itertools,Відкритий файл або інший ресурс усередині його контексту,Лише CPU register,Жоден ресурс,B
Що відбувається з with open усередині lines_from_file під час ітерації?,Файл закривається одразу після створення generator,with ігнорується,Файл завжди читається повністю,Контекст залишається активним протягом споживання generator,D
