Question,A,B,C,D,Prav_vid
Що відбудеться при додаванні двох Series з різними індексами?,Дані складуться по позиції без пропусків,"Pandas вирівняє значення по індексах, невідповідні дадуть NaN",Виникне SyntaxError,Друга Series буде проігнорована,B
Що таке dtype у Pandas?,Назва рядка,Тип даних,Індекс стовпця,Назва файлу,B
Який dtype часто отримує колонка з числами та NaN?,bool,object,float64,datetime64[ns],C
Що повертає df.shape?,Назви колонок,"Розмір DataFrame у форматі (рядки, стовпці)",Типи даних,Перші рядки,B
Що повертає df.columns?,Список значень першого рядка,Назви колонок,Індекси рядків,Форму таблиці,B
Що показує df.dtypes?,Кількість пропусків,Тип даних кожної колонки,Назви індексів,Описову статистику,B
Яка особливість методу df.info()?,Повертає DataFrame,Показує структуру DataFrame та повертає None,Видаляє пропуски,Обчислює кореляцію,B
Що краще писати замість print(df.info())?,print(df.head()),df.info(),df.show(),info(df),B
"Що означає, якщо колонка має dtype object?",У ній лише дати,У ній зазвичай текст або змішані типи,У ній лише пропуски,У ній лише булеві значення,B
Який nullable-тип дозволяє зберігати цілі числа з пропусками?,int64,float64,Int64,object,C
Що є колонкою DataFrame з точки зору Pandas?,NumPy-матриця,Окрема Series,Словник,Рядок тексту,B
"Що повертає df['Math'], якщо Math — назва колонки?",Series,DataFrame з усіма колонками,Index,Tuple,A
"Що зазвичай повертає df.loc['Ivan'], якщо індексом є імена?",Series-рядок,Лише одне число,Список Python,Булеву маску,A
Що робить доступ df['score']?,Вибирає рядок,Вибирає стовпець,Сортує таблицю,Видаляє колонку,B
Коли доступ через крапку df.score може бути незручним?,Коли колонка числова,Коли назва колонки містить пробіли або конфліктує з методами,Коли DataFrame порожній,Коли є індекс,B
Чим відрізняється loc від iloc?,"loc — по мітках, iloc — по позиціях","loc — по позиціях, iloc — по мітках",Різниці немає,iloc працює лише з Series,A
"Що повертає df.loc[0, 'score']?",Усю колонку score,Увесь рядок 0,Значення комірки в рядку 0 та стовпці score,Помилку завжди,C
"Що повертає df.iloc[1, 2]?",Комірку за числовими позиціями,Назву стовпця,Булеву маску,Лише індекс,A
Яка важлива особливість loc при зрізах?,Кінцевий індекс не включається,Кінцевий індекс включається,loc не підтримує зрізи,loc працює лише з числами,B
Яка важлива особливість iloc при зрізах?,Кінцева позиція не включається,Кінцева позиція включається,iloc працює лише з назвами,iloc не підтримує зрізи,A
Що повертає вираз df[df['score'] > 80]?,"Рядки, де score > 80","Стовпці, де score > 80",Лише перший рядок,Помилку типу,A
Який оператор треба використовувати для AND у фільтрації Pandas?,and,&&,&,AND,C
Який оператор треба використовувати для OR у фільтрації Pandas?,or,|,||,OR,B
Який оператор відповідає за NOT у фільтрації Pandas?,!,not,~,-,C
Чому умови у фільтрації треба брати в дужки?,Так швидше працює Excel,Інакше може виникнути помилка через пріоритет операторів,Бо цього вимагає тільки NumPy,Щоб автоматично видалити NaN,B
"Що буде, якщо у фільтрації написати and замість &?","Нічого, це еквівалентно",ValueError: truth value of a Series is ambiguous,SyntaxError,DataFrame перетвориться в Series,B
Який метод читає CSV-файл у DataFrame?,pd.load_csv(),pd.read_csv(),pd.open_csv(),pd.from_csv(),B
Що робить df.head()?,Показує перші рядки,Показує останні рядки,Дає статистику,Видаляє дублікати,A
Що робить df.tail()?,Показує перші 5 колонок,Показує останні рядки,Повертає індекси,Об'єднує таблиці,B
Що робить df.isna().sum()?,Підраховує пропуски в кожній колонці,Обчислює суму значень,Видаляє NaN,Замінює NaN на 0,A
Що робить df.dropna()?,Перейменовує колонки,Видаляє рядки або стовпці з пропусками,Сортує рядки,Зливає таблиці,B
Що робить df.fillna(0)?,Видаляє всі нулі,Замінює пропуски нулями,Знаходить нулі,Округлює числа,B
Що робить df.rename(columns={'score':'exam_score'})?,Видаляє score,Перейменовує колонку score на exam_score,Створює новий DataFrame лише зі score,Змінює значення score,B
Що означає inplace=True у багатьох методах Pandas?,Операція виконується без збереження,Операція змінює поточний об'єкт,Створюється копія,Команда працює лише один раз,B
Для чого використовується GroupBy?,Для побудови графіків,Для групування даних за ознакою та обчислення агрегатів,Для імпорту Excel,Для зміни типів даних,B
Що робить df.groupby('group').mean()?,Обчислює середнє по всьому DataFrame без груп,Обчислює середнє в межах кожної групи,Шукає медіану,Створює нову колонку,B
Що дозволяє метод agg() після groupby?,Застосувати кілька агрегатних функцій,Лише видаляти рядки,Перетворювати DataFrame в Series,Змінювати індекс на дати,A
Що може обчислювати GroupBy окрім mean()?,Лише sum(),Лише count(),"mean(), max(), min(), count() та інші агрегати",Нічого іншого,C
Що повертає value_counts()?,Частоту унікальних значень,Суму всіх чисел,Назви колонок,Типи даних,A
Для чого використовується pd.merge()?,Для сортування,Для об'єднання таблиць за ключами,Для роботи з датами,Для видалення дублікатів,B
Який тип злиття є за замовчуванням у pd.merge()?,left,right,outer,inner,D
Що робить left join?,Залишає лише спільні записи,Залишає всі записи з лівої таблиці,Залишає всі записи з правої таблиці,Видаляє пропуски,B
Що робить right join?,Залишає всі записи з правої таблиці,Залишає всі записи з лівої таблиці,Об'єднує лише спільні колонки,Сортує за ключем,A
Що робить outer join?,Залишає всі записи з обох таблиць,Залишає лише дублікати,Працює тільки з індексами,Не створює NaN,A
Коли зручно використовувати join()?,Коли ключем є індекс,Лише для графіків,Лише для Series,Тільки з CSV,A
"Що робить pd.concat([df1, df2]) за замовчуванням?",Об'єднує по стовпцях,Об'єднує по рядках,Робить inner join,Сортує індекси,B
"Що робить pd.concat([df1, df2], axis=1)?",Об'єднує по рядках,Об'єднує по стовпцях,Змінює типи даних,Видаляє дублікати,B
Який метод перетворює текстову колонку на дату?,pd.date(),pd.to_datetime(),pd.as_date(),datetime.cast(),B
Який dtype мають дати після перетворення у Pandas?,object,int64,datetime64[ns],bool,C
Що робить параметр errors='coerce' у pd.to_datetime()?,Ігнорує всі дати,Замінює невалідні дати на NaT,Перетворює дати на рядки,Видаляє колонку,B
Що означає NaT у Pandas?,Відсутнє значення дати/часу,Нова таблиця,Тип bool,Назва методу,A
Для чого використовується .dt у Pandas?,Для арифметики над числами,Для доступу до компонентів дати,Для читання CSV,Для об'єднання таблиць,B
Що повертає df['date'].dt.year?,Рік із дати,Місяць із дати,День тижня,Назву місяця,A
Що повертає df['date'].dt.month?,Рік,Місяць,День,Квартал,B
Що повертає df['date'].dt.day_name()?,Номер дня місяця,Назву дня тижня,Назву місяця,Рік,B
Що повертає df['date'].dt.quarter?,День тижня,Квартал року,Номер тижня,Номер години,B
Що зазвичай потрібно зробити перед resample()?,Перетворити всі числа на object,Встановити дату як індекс,Видалити всі NaN,Застосувати merge,B
Для чого використовується resample('M') або resample('ME')?,Для групування даних за місяцями,Для сортування за місяцями без агрегації,Для побудови лише лінійного графіка,Для перетворення рядків у дати,A
Що робить rolling(7).mean()?,Обчислює глобальне середнє,Обчислює 7-елементне ковзне середнє,Обчислює максимум за 7 років,Створює 7 нових колонок,B
Що таке часовий ряд у Pandas?,"DataFrame, де індексом є дата/час",Будь-який CSV-файл,Series без індексу,DataFrame лише з текстом,A
Що означає EDA?,Efficient Data Access,Exploratory Data Analysis,External Data Algorithm,Encoded Data Array,B
Яка мета EDA?,Лише експортувати дані у CSV,"Зрозуміти структуру даних, знайти закономірності та аномалії",Лише змінити шрифт таблиці,Лише побудувати нейромережу,B
Що робить df.describe()?,Дає описову статистику для числових колонок,Видаляє пропуски,Перейменовує колонки,Змінює індекси,A
Що робить df.describe(include='all')?,Показує статистику лише для чисел,"Показує статистику і для числових, і для категоріальних колонок",Працює лише з Series,Повертає кореляцію,B
Що зазвичай показує top у describe(include='all') для категоріальних колонок?,Найменше значення,Найчастіше значення,Середнє значення,Кількість NaN,B
Що робить df.corr(numeric_only=True)?,Обчислює кореляцію між числовими ознаками,Видаляє текстові стовпці назавжди,Шукає дублікати,Створює heatmap автоматично,A
"Що означає кореляція, близька до 1?",Сильний позитивний лінійний зв'язок,Сильний негативний зв'язок,Відсутність зв'язку,Наявність NaN,A
"Що означає кореляція, близька до 0?",Сильний позитивний зв'язок,Приблизна відсутність лінійного зв'язку,Сильний негативний зв'язок,Що колонки однакові,B
Як часто визначають аномалії через квантиль 0.95?,Беруть нижні 5% значень,Беруть верхні 5% значень,Видаляють усі значення більше середнього,Порівнюють лише з медіаною,B
Що таке IQR в аналізі аномалій?,Сума квартилів,Міжквартильний розмах Q3 - Q1,Середнє між min і max,Коефіцієнт кореляції,B
Що таке pivot_table у Pandas?,Метод для зведених таблиць,Метод для видалення рядків,Тип файлу Excel,Оператор фільтрації,A
Для чого використовується sort_values()?,Для сортування даних за значеннями колонки,Для фільтрації рядків,Для зміни типів даних,Для побудови Series,A
Що з наведеного є прикладом feature engineering у лекції?,Перетворення CSV на TXT,Створення колонки revenue = quantity * price,Перейменування DataFrame на df2,Видалення всіх чисел,B
Що означає broadcasting у Pandas?,Автоматичне вирівнювання операцій між Series/DataFrame за індексами,Передача даних по мережі,Збереження файлу в хмарі,Створення копії DataFrame,A
Чим broadcasting у Pandas відрізняється від NumPy?,У Pandas вирівнювання відбувається по іменах/індексах,У Pandas немає broadcasting,NumPy працює лише з Series,Різниці немає,A
Чому в Pandas рекомендують уникати циклів for для обробки колонок?,Бо цикли заборонені,Векторизовані операції зазвичай швидші,Бо цикли видаляють NaN,Бо Pandas працює лише з lambda,B
Коли apply() варто використовувати обережно?,"Коли потрібна максимальна швидкість, бо apply може бути повільнішим за векторизацію",Коли DataFrame малий,Коли колонка текстова,Ніколи,A
Що робить вираз (df['score'] - df['score'].mean()) / df['score'].std()?,Фільтрацію,Нормалізацію/стандартизацію значень,Злиття таблиць,Створення індексу,B
Що робить pd.cut()?,Розбиває числову ознаку на інтервали/категорії,Видаляє всі великі значення,Розрізає DataFrame навпіл,Створює pivot table,A
Для чого може використовуватися pd.crosstab()?,Для перехресного аналізу двох категоріальних змінних,Для зміни типу даних,Для обчислення стандартного відхилення,Для конкатенації,A
Що корисно зробити одразу після завантаження реального CSV?,Лише зберегти його знову,"Перевірити head(), shape, dtypes, info() та пропуски",Одразу будувати нейромережу,Видалити всі текстові колонки,B
Що покаже df.groupby('city')['revenue'].sum()?,Кількість колонок по містах,Сумарний дохід у кожному місті,Середній вік у містах,Список унікальних міст,B
