Question,A,B,C,D,Prav_vid
Скільки starred-цілей може бути в одному шаблоні присвоєння?,Одна,Необмежено,Дві,Жодної,A
"Що робить a, b = b, a?",Порівнює a і b,Видаляє b,Створює set,Обмінює значення a і b,D
Що робить * при виклику area(*size)?,Виконує множення контейнерів,Розпаковує позиційні аргументи,Створює generator,Розпаковує лише ключі dict,B
Що робить ** при area(**options)?,Виконує піднесення до степеня над dict,Розпаковує іменовані пари ключ-значення,Розпаковує лише позиційні індекси,Створює set comprehension,B
Яка вимога до ключів options при **options?,Вони мають відповідати назвам параметрів функції,Вони повинні повторюватися,Вони мають бути лише числами,Вони мають бути list,A
Що таке comprehension?,Механізм Git,"Компактна конструкція побудови колекції через ітерацію, перетворення і фільтрацію",Тип винятку,Спосіб створення venv,B
Що створює [x*x for x in range(10)]?,Словник квадратів,Множину квадратів,Generator без списку,Список квадратів,D
Що створює {word.lower() for word in words}?,Tuple comprehension,Dict comprehension,Deque comprehension,Set comprehension,D
Що створює {name: len(name) for name in names}?,Generator tuple,Dict comprehension,List comprehension,Set comprehension,B
Коли звичайний цикл може бути кращим за comprehension?,Лише для порожнього списку,Коли конструкція має багато умов або побічні ефекти й стає важкою для читання,Тільки для set,Завжди без винятку,B
Що створює вираз sum(x*x for x in range(...)) усередині sum?,Dict,Namedtuple,List comprehension,Generator expression,D
Яка перевага generator expression у наведеному контексті?,Значення видаються ліниво без великого проміжного списку,Він завжди швидший у будь-якій задачі,Він зберігає всі значення двічі,Він автоматично сортує дані,A
Що надає модуль collections?,Систему контролю версій,HTTP-клієнт,Лише математичні функції,Спеціалізовані контейнерні типи,D
Для чого використовується Counter?,Для FIFO-черги,Для підрахунку hashable-об’єктів,Для slicing,Для глибокого копіювання,B
Що повертає Counter для відсутнього елемента?,KeyError,-1,None завжди,0,D
Для чого використовується Counter.most_common(3)?,Щоб отримати три найчастіші елементи з лічильниками,Щоб відсортувати list за індексом,Щоб створити три Counter,Щоб видалити три елементи,A
Яку семантику має a & b для Counter?,Поелементний максимум,Поелементний мінімум лічильників,Суму лічильників,Повне видалення спільних ключів,B
Що робить defaultdict при читанні відсутнього ключа через []?,Повертає останній ключ,Видаляє словник,Викликає фабрику значення,Завжди піднімає KeyError,C
Яка фабрика зручна для групування у defaultdict?,tuple без аргументів лише для підрахунку,frozenset обов’язково,float,list,D
Яка структура виразніша для чистого підрахунку частот?,deque,namedtuple,Counter,defaultdict(list),C
Що таке deque?,Двобічна черга,Вид tuple,Хеш-таблиця,Незмінна множина,A
Для яких операцій deque особливо оптимізована?,Зберігання пар ключ-значення,Довільний індексний доступ у середині,Додавання і видалення з обох кінців,Сортування за ключем,C
Яка операція deque видаляє елемент зліва?,removeleft(),shift(),pop(0),popleft(),D
Що означає FIFO?,Fixed immutable field order,"First index, final object","First in, first out","Fast input, fast output",C
Яка типова складність popleft() у deque?,O(n²),O(1),O(n),O(log n),B
Чому list.pop(0) має O(n)?,List є immutable,Потрібно змістити решту елементів,Операція завжди сортує список,Потрібно обчислити hash кожного ключа,B
Для чого використовується deque(maxlen=N)?,Для сортування N елементів,Для словника з N ключами,Для обмеженого буфера останніх N елементів,Для незмінного tuple,C
Що відбувається при append у заповнений deque(maxlen=N)?,Автоматично витісняється елемент із протилежного кінця,Усі елементи видаляються,Виникає IndexError,Черга необмежено зростає,A
Що робить deque.rotate(1)?,Циклічно зсуває елементи,Видаляє перший елемент,Перетворює deque на set,Сортує deque,A
Що створює namedtuple?,Змінний dict із фабрикою,Двобічну чергу,Хеш-функцію,Легкий незмінний тип запису з іменованими полями,D
Як можна звернутися до поля Point namedtuple?,Лише через ключ dict,Лише через get(),За іменем поля або індексом,Лише через slicing,C
Що робить namedtuple._replace()?,Змінює існуючий namedtuple на місці,Перетворює запис на deque,Видаляє поле,Повертає новий екземпляр зі зміненим полем,D
Що робить namedtuple._asdict()?,Сортує поля,Повертає словникове представлення полів,Видаляє назви полів,Створює set,B
Коли dataclass може бути зручнішим за namedtuple?,Для простої membership-перевірки,"Для доменних моделей з методами, валідацією і складнішою поведінкою",Для зрізу рядка,Для FIFO-черги,B
Що означає hashability?,Об’єкт має стабільне хеш-значення протягом життя і підтримує порівняння рівності,Об’єкт завжди є list,Об’єкт обов’язково mutable,Об’єкт не можна порівнювати,A
Який із наведених об’єктів може бути ключем dict у прикладі лекції?,"[1, 2]","{1, 2}","(1, 2)",{'a': 1},C
Чому list не може бути звичайним ключем dict?,List завжди порожній,List є mutable і неhashable,List не має елементів,Dict приймає лише рядкові ключі,B
Що описує Big O?,Версію Python,Як зростає вартість алгоритму зі збільшенням розміру вхідних даних,Точний обсяг RAM у байтах,Точний час виконання в секундах,B
Що означає O(1)?,Квадратична вартість,Лінійна вартість,Логарифмічна вартість,Стала очікувана вартість,D
Яка типова складність x in lst?,O(1),O(n),O(n log n),O(log n),B
Яка очікувана складність x in set?,O(n²),O(n),O(n log n),O(1),D
Яка очікувана складність d[key]?,O(n),O(log n) гарантовано,O(n²),O(1),D
Яка типова складність list.sort()?,O(n²) завжди,O(n log n),O(log n),O(1),B
Що означає амортизовано O(1) для list.append()?,"Більшість додавань сталі за вартістю, хоча інколи потрібне розширення масиву",Кожне додавання завжди має O(n),Append ніколи не змінює список,Append працює лише для одного елемента в списку,A
Чому O(1) для dict/set названо очікуваною складністю?,Тому що всі операції dict є O(n²),Тому що set завжди відсортований,Вартість залежить від поведінки хеш-таблиці й не є універсально гарантованою для всіх наборів хешів,Тому що dict не використовує хешування,C
Чому set часто вигідніший за list для багатьох membership-перевірок?,Set використовує хеш-таблицю з очікуваним O(1) пошуком,Set має швидкий довільний індекс,Set завжди займає менше пам’яті,List не підтримує оператор in,A
Для чого в лекції використано timeit?,Для експериментального порівняння часу операцій,Для створення namedtuple,Для копіювання списків,Для групування значень,A
Чому мікробенчмарк timeit не є універсальною константою швидкості?,"Результат залежить від платформи, версії Python і конкретних даних",Big O забороняє вимірювання,timeit завжди повертає випадкове число,timeit працює лише з dict,A
Яку структуру рекомендовано для впорядкованої змінної послідовності?,frozenset,list,set,Counter,B
Яку структуру рекомендовано для унікальних елементів і membership?,list,namedtuple,tuple,set,D
